Object_Name	Parent_Object
DE North-Middle	DE North
DE Middle-North	DE Middle
DE Middle-South	DE Middle
DE South-Middle	DE South
NL-DE Middle	NL
DE Middle-NL	DE Middle
DE North-NL	DE North
FR-DE Middle	FR
DE Middle-FR	DE South
PL-DE Middle	PL
DE North-PL	DE North
PL-DE North	PL
DE North-PL	DE North
SE4-SE3	SE4
SE3-SE2	SE3
SE2-SE1	SE2
SE1-SE2	SE1
SE3-SE4	SE3
SE2-SE3	SE2
NO1-SE3	NO1
SE3-NO1	SE3
NL-NO2	NL
NO2-NL	NO2
DE North-DK1	DE North
DK1-DE North	DK1
DE North-DK2	DE North
DK2-DE North	DK2
DE North-SE4	DE North
SE4-DE North	SE4
PL-SE4	PL
SE4-PL	SE4
DK1-NO2	DK1
NO2-DK1	NO2
DK1-DK2	DK1
DK2-DK1	DK2
SE4-DK2	SE4
DK2-SE4	DK2
SE3-DK1	SE3
DK1-SE3	DK1
NO5-NO2	NO5
NO2-NO5	NO2
NO1-NO2	NO1
NO2-NO1	NO2
NO1-NO5	NO1
NO5-NO1	NO5
NO1-NO3	NO1
NO3-NO1	NO3
SE2-NO3	SE2
NO3-SE2	NO3
NO4-NO3	NO4
NO3-NO4	NO3
NO4-SE2	NO4
SE2-NO4	SE2
NO4-SE1	NO4
SE1-NO4	SE1
FI-SE1	FI
SE1-FI	SE1
FI-SE3	FI
SE3-FI	SE3
FI-ET	FI
ET-FI	ET
FR-ES	FR
ES-FR	ES
ES-PT	ES
PT-ES	PT
FR-UK	FR
UK-FR	UK
NL-DE	NL
DE-NL	DE
FR-DE	FR
DE-FR	DE
PL-DE	PL
DE-PL	DE
FR-BE	FR
BE-FR	BE
NL-BE	NL
BE-NL	BE
DE-BE	DE
BE-DE	BE
NL-UK	NL
UK-NL	UK
BE-UK	BE
UK-BE	UK
DE-CH	DE
CH-DE	CH
CH-FR	CH
FR-CH	FR
