Start Time	2010-01-01	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01
End Time	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	2101-01-01
Onshore_existing_subsidised_extrinsic	0	0	0	0	0	0	0	0	0	0	0	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Onshore_new2019_nonSubsidised_intrinsic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6424	7521.6	8619.2	8965.9	9312.7	9659.4	9781.6	9903.9	10026.2	10122	10217.8	10288.1	10358.5	10910.1	11461.8	12013.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Onshore_new2019_subsidised_extrinsic	0	0	0	0	0	0	0	0	0	0	0	720.1583318	1070.575688	1419.343466	1693.880265	1886.173851	2066.684741	2232.349436	2318.127457	2305.6378	2320.36617	2383.786527	2421.645799	2447.525385	2482.997281	2523.655058	2558.622191	2592.866289	2629.201515	2665.752574	2701.276953	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Total Onshore	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75.1	75.1	75.1	742.3	1408.7	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075	2075
Total PV	760.9145224	960.9145224	1160.914522	1360.914522	1560.914522	1760.914522	1960.914522	2160.914522	2360.914522	2560.914522	2760.914522	2960.914522	3207.861961	3438.608077	3704.184583	3970.325036	4236.365489	4502.405941	4768.446394	5034.486847	5300.5273	5566.567752	5832.608205	6098.648658	6364.689111	6630.729563	6896.770016	7162.810469	7428.850922	7694.891374	7960.831827	8160.831827	8360.831827	8560.831827	8760.831827	8960.831827	9160.831827	9360.831827	9560.831827	9760.831827	9960.831827	10160.83183	10360.83183	10560.83183	10760.83183	10960.83183	11160.83183	11360.83183	11560.83183	11760.83183	11960.83183	12160.83183	12360.83183	12560.83183	12760.83183	12960.83183	13160.83183	13360.83183	13560.83183	13760.83183	13960.83183	14160.83183	14360.83183	14560.83183	14760.83183	14960.83183	15160.83183	15360.83183	15560.83183	15760.83183	15960.83183	16160.83183	16360.83183	16560.83183	16760.83183	16960.83183	17160.83183	17360.83183	17560.83183	17760.83183	17960.83183	18160.83183	18360.83183	18560.83183	18760.83183	18960.83183	19160.83183	19360.83183	19560.83183	19760.83183	19960.83183
CH Onshore 1989 47.0 8.75 70M Generator NWST	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.51666667	12.51666667	12.51666667	123.7166667	234.7833333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333
CH Onshore 2077 47.5 8.125 70M Generator NWST	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.51666667	12.51666667	12.51666667	123.7166667	234.7833333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333
CH Onshore 1989 47.0 8.75 85M Generator NWST	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.51666667	12.51666667	12.51666667	123.7166667	234.7833333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333
CH Onshore 2077 47.5 8.125 85M Generator NWST	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.51666667	12.51666667	12.51666667	123.7166667	234.7833333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333	345.8333333
