Start Time	01/01/2010	01/01/2011	01/01/2012	01/01/2013	01/01/2014	01/01/2015	01/01/2016	01/01/2017	01/01/2018	01/01/2019	01/01/2020	01/01/2021	01/01/2022	01/01/2023	01/01/2024	01/01/2025	01/01/2026	01/01/2027	01/01/2028	01/01/2029	01/01/2030	01/01/2031	01/01/2032	01/01/2033	01/01/2034	01/01/2035	01/01/2036	01/01/2037	01/01/2038	01/01/2039	01/01/2040	01/01/2041	01/01/2042	01/01/2043	01/01/2044	01/01/2045	01/01/2046	01/01/2047	01/01/2048	01/01/2049	01/01/2050	01/01/2051	01/01/2052	01/01/2053	01/01/2054	01/01/2055	01/01/2056	01/01/2057	01/01/2058	01/01/2059	01/01/2060	01/01/2061	01/01/2062	01/01/2063	01/01/2064	01/01/2065	01/01/2066	01/01/2067	01/01/2068	01/01/2069	01/01/2070	01/01/2071	01/01/2072	01/01/2073	01/01/2074	01/01/2075	01/01/2076	01/01/2077	01/01/2078	01/01/2079	01/01/2080	01/01/2081	01/01/2082	01/01/2083	01/01/2084	01/01/2085	01/01/2086	01/01/2087	01/01/2088	01/01/2089	01/01/2090	01/01/2091	01/01/2092	01/01/2093	01/01/2094	01/01/2095	01/01/2096	01/01/2097	01/01/2098	01/01/2099	01/01/2100										
End Time	01/01/2011	01/01/2012	01/01/2013	01/01/2014	01/01/2015	01/01/2016	01/01/2017	01/01/2018	01/01/2019	01/01/2020	01/01/2021	01/01/2022	01/01/2023	01/01/2024	01/01/2025	01/01/2026	01/01/2027	01/01/2028	01/01/2029	01/01/2030	01/01/2031	01/01/2032	01/01/2033	01/01/2034	01/01/2035	01/01/2036	01/01/2037	01/01/2038	01/01/2039	01/01/2040	01/01/2041	01/01/2042	01/01/2043	01/01/2044	01/01/2045	01/01/2046	01/01/2047	01/01/2048	01/01/2049	01/01/2050	01/01/2051	01/01/2052	01/01/2053	01/01/2054	01/01/2055	01/01/2056	01/01/2057	01/01/2058	01/01/2059	01/01/2060	01/01/2061	01/01/2062	01/01/2063	01/01/2064	01/01/2065	01/01/2066	01/01/2067	01/01/2068	01/01/2069	01/01/2070	01/01/2071	01/01/2072	01/01/2073	01/01/2074	01/01/2075	01/01/2076	01/01/2077	01/01/2078	01/01/2079	01/01/2080	01/01/2081	01/01/2082	01/01/2083	01/01/2084	01/01/2085	01/01/2086	01/01/2087	01/01/2088	01/01/2089	01/01/2090	01/01/2091	01/01/2092	01/01/2093	01/01/2094	01/01/2095	01/01/2096	01/01/2097	01/01/2098	01/01/2099	01/01/2100	01/01/2101										
DE PV Total	39332	39332	39332	39332	39332	39332	40679	42339	45181	49016	63721	65824	67996	70240	72558	74952	77425	79980	82620	85346	88163	91072	94077	97182	100389	103702	107124	110659	114311	118083	121980	126005	130163	134459	138896	143479	148214	153105	158158	163377	168768	174338	180091	186034	192173	198515	205066	211833	218823	226044	233504	241209	249169	257392	265886	274660	283724	293087	302759	312750	323070	333732	344745	356122	367874	380013	392554	405508	418890	432713	446993	461744	476981	492721	508981	525778	543128	561052	579566	598692	618449	638858	659940	681718	704215	727454	751460	776258	801874	828336	855671										
DE PV North	9956	9956	9956	9956	9956	9956	10297	10717	11437	12407	17493	18414	19403	20078	20514	20953	21389	21827	22263	22701	23138	23576	24013	24450	24887	25325	25762	26200	26636	27074	27511	27896	28287	28683	29084	29491	29904	30323	30748	31178	31614	32057	32506	32961	33422	33890	34365	34846	35334	35828	36330	36839	37354	37877	38408	38945	39491	40043	40604	41172	41749	42333	42926	43527	44136	44754	45381	46016	46660	47314	47976	48648	49329	50019	50720	51430	52150	52880	53620	54371	55132	55904	56687	57480	58285	59101	59928	60767	61618	62481	63355										
DE PVSAT NRW  2699 51.0 7.5 Generator	5349.117426	5349.117426	5349.117426	5349.117426	5349.117426	5349.117426	5349.117426	5349.117426	5349.117426	5349.117426	5349.117426	5398.496007	5608.77577	5727.531171	5806.634887	5883.200092	5957.411814	6030.915942	6105.016764	6180.321497	6256.789375	6334.935605	6452.532094	6570.030668	6687.529241	6805.027815	6922.428474	7040.122878	7157.523537	7274.924195	7392.422769	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	7392.6186	11526	11687	11851	12017	12185	12356	12529	12704	12882	13062	13245	13431	13619	13809	14003	14199	14397	14599	14803	15011	15221	15434	15650	15869	16091	16316	16545	16777	17011	17250	17491										
DE PVSAT S 2708 51.0 13.125 Generator	1969.759786	1969.759786	1969.759786	1969.759786	1969.759786	1969.759786	1969.759786	1969.759786	1969.759786	1969.759786	1969.759786	2016.933297	2199.172104	2352.254883	2433.677438	2517.609112	2603.692159	2691.209859	2779.390962	2868.120446	2957.378064	3046.932415	3103.493141	3160.006772	3216.520403	3273.034034	3329.50057	3386.10839	3442.574927	3499.041463	3555.555094	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	3555.649283	4761	4828	4895	4964	5033	5104	5175	5248	5321	5396	5471	5548	5625	5704	5784	5865	5947	6030	6115	6200	6287	6375	6464	6555	6647	6740	6834	6930	7027	7125	7225	7326	7429	7533	7638	7745	7853	7963	8075	8188	8303
DE PVSAT T 2614 50.5 10.0 Generator	1454.950134	1454.950134	1454.950134	1454.950134	1454.950134	1454.950134	1454.950134	1454.950134	1454.950134	1454.950134	3674.760322	3783.342049	4009.1135	4175.19318	4292.441249	4413.805831	4538.955534	4667.022703	4796.840765	4928.329778	5061.573448	5196.240971	5292.699677	5389.078069	5485.45646	5581.834852	5678.132928	5774.67195	5870.970026	5967.268102	6063.646493	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	6063.807124	13919	14114	14312	14512	14715	14921	15130	15342	15557	15775	15996	16219	16447	16677	16910	17147	17387	17630	17877	18128	18381	18639	18900	19164	19433	19705	19980	20260	20544	20831	21123										
DE Onshore North Total	21816	23816	25816	27816	29816	31816	33816	35816	37816	39816	41816	43612	45632	47491	49351	51372	53555	55070	56178	56393	56219	56290	56463	56218	56068	56185	55989	55941	56354	56740	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399										
DE Onshore Middle Total	7195	7195	7195	7195	7195	7195	7195	7195	7195	7195	7195	7503	7851	8171	8491	8839	9214	9475	9665	9702	9672	9685	9714	9672	9647	9667	9633	9625	9696	9762	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703										
DE Onshore Hessen_Fulda 2613 50.5 9.375 100M Generator NWST	764.2481456	764.2481456	764.2481456	764.2481456	764.2481456	764.2481456	764.2481456	764.2481456	764.2481456	764.2481456	764.2481456	837.6867125	902.8535054	984.6339263	1185.202296	1443.563845	1706.607776	1940.614434	2158.636309	2295.40208	2349.345945	2356.972265	2364.190059	2353.946465	2347.705752	2352.591159	2344.364765	2342.379083	2359.651359	2375.820479	2361.510966	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391																																									
DE Onshore Hessen_Kassel 2703 51.0 10.0 100M Generator NWST	764.2481456	764.2481456	764.2481456	764.2481456	764.2481456	764.2481456	764.2481456	764.2481456	764.2481456	764.2481456	764.2481456	837.6867125	902.8535054	984.6339263	1185.202296	1443.563845	1706.607776	1940.614434	2158.636309	2295.40208	2349.345945	2356.972265	2364.190059	2353.946465	2347.705752	2352.591159	2344.364765	2342.379083	2359.651359	2375.820479	2361.510966	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391	2363.906391																																									
