Start Time	2010-01-01	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01
End Time	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	2101-01-01
DE PV Total	39332	39332	39332	39332	39332	39332	40679	42339	45181	49016	63721	65824	67996	70240	72558	74952	77425	79980	82620	85346	88163	91072	94077	97182	100389	103702	107124	110659	114311	118083	121980	126005	130163	134459	138896	143479	148214	153105	158158	163377	168768	174338	180091	186034	192173	198515	205066	211833	218823	226044	233504	241209	249169	257392	265886	274660	283724	293087	302759	312750	323070	333732	344745	356122	367874	380013	392554	405508	418890	432713	446993	461744	476981	492721	508981	525778	543128	561052	579566	598692	618449	638858	659940	681718	704215	727454	751460	776258	801874	828336	855671
DE PV North	9956	9956	9956	9956	9956	9956	10297	10717	11437	12407	17493	18414	19403	20078	20514	20953	21389	21827	22263	22701	23138	23576	24013	24450	24887	25325	25762	26200	26636	27074	27511	27896	28287	28683	29084	29491	29904	30323	30748	31178	31614	32057	32506	32961	33422	33890	34365	34846	35334	35828	36330	36839	37354	37877	38408	38945	39491	40043	40604	41172	41749	42333	42926	43527	44136	44754	45381	46016	46660	47314	47976	48648	49329	50019	50720	51430	52150	52880	53620	54371	55132	55904	56687	57480	58285	59101	59928	60767	61618	62481	63355
DE PVSAT BR 2976 52.5 13.75 Generator	2981	2981	2981	2981	2981	2981	3083	3209	3424	3715	6058.819303	6785.358873	7319.554537	7752.413495	8029.438606	8314.887034	8606.625113	8900.597638	9193.127372	9483.389384	9770.997965	10054.75134	10241.39941	10427.89206	10614.38471	10800.87736	10987.2146	11174.01808	11360.35532	11546.69256	11733.18521	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11733.49603	11526	11687	11851	12017	12185	12356	12529	12704	12882	13062	13245	13431	13619	13809	14003	14199	14397	14599	14803	15011	15221	15434	15650	15869	16091	16316	16545	16777	17011	17250	17491
DE PVSAT MV 3152 53.5 12.5 Generator	1415	1415	1415	1415	1415	1415	1463	1523	1625	1763	1733.192493	2031.796384	2218.001495	2387.983761	2532.492742	2691.338551	2863.767172	3045.860331	3233.225891	3424.81755	3620.90791	3819.99199	3890.903152	3961.755271	4032.60739	4103.459509	4174.252584	4245.22279	4316.015865	4386.808941	4457.661059	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	4457.779146	5471	5548	5625	5704	5784	5865	5947	6030	6115	6200	6287	6375	6464	6555	6647	6740	6834	6930	7027	7125	7225	7326	7429	7533	7638	7745	7853	7963	8075	8188	8303
DE PVSAT NS 2968 52.5 8.75 Generator	3600	3600	3600	3600	3600	3600	3723	3875	4135	4486	4388.13941	4427.846778	4684.577507	4882.265339	5014.985826	5157.958387	5311.9358	5476.503197	5649.925109	5832.327325	6024.662029	6226.640331	6342.226517	6457.716461	6573.206405	6688.696349	6804.090051	6919.772478	7035.166181	7150.559883	7266.049827	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	7266.24231	13919	14114	14312	14512	14715	14921	15130	15342	15557	15775	15996	16219	16447	16677	16910	17147	17387	17630	17877	18128	18381	18639	18900	19164	19433	19705	19980	20260	20544	20831	21123
DE PVSAT SH 3238 54.0 10.625 Generator	1960	1960	1960	1960	1960	1960	2027	2110	2251	2443	2778.249078	2825.484579	2872.602187	2919.719794	2966.8767	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	2966.955295	6067	6152	6238	6325	6414	6504	6595	6687	6781	6876	6972	7069	7168	7269	7370	7474	7578	7684	7792	7901	8012	8124	8238	8353	8470	8588	8709	8831	8954	9080	9207	9336	9466	9599	9733	9869	10008	10148	10290	10434	10580	10728	10878	11031	11185	11342	11500
Total Offshore	0	0	0	400	1400	2400	3400	4400	5400	6482	7563	8063	8501	9184	10084	11180	12494	13828	15163	16498	17833	18750	19250	19750	20250	20750	21250	21750	23400	26150	28900	30345	31862.25	33455.3625	35128.1306	36884.5372	38728.764	40665.2022	42698.4623	44833.3854	47075.0547	49428.8074	51900.2478	54495.2602	57220.0232	60081.0244	63085.0756	66239.3294	69551.2959	73028.8606	76680.3037	80514.3189	84540.0348	88767.0365	93205.3884	97865.6578	102758.9407	107896.8877	113291.7321	118956.3187	124904.1346	131149.3414	137706.8084	144592.1489	151821.7563	159412.8441	167383.4863	175752.6606	184540.2937	193767.3084	203455.6738	213628.4575	224309.8803	235525.3744	247301.6431	259666.7252	272650.0615	286282.5646	300596.6928	315626.5274	331407.8538	347978.2465	365377.1588	383646.0168	402828.3176	422969.7335	444118.2202	466324.1312	489640.3377	514122.3546	539828.4723
Total North See	0	0	0	320	1120	1920	2720	3520	4320	5185	6050	6450	6801	7347	8067	8944	9995	11062	12130	13198	14266	15000	15400	15800	16200	16600	17000	17400	18720	20920	23120	24276	25490	26764	28103	29508	30983	32532	34159	35867	37660	39543	41520	43596	45776	48065	50468	52991	55641	58423	61344	64411	67632	71014	74564	78293	82207	86318	90633	95165	99923	104919	110165	115674	121457	127530	133907	140602	147632	155014	162765	170903	179448	188420	197841	207733	218120	229026	240477	252501	265126	278383	292302	306917	322263	338376	355295	373059	391712	411298	431863
Total Baltic See	0	0	0	80	280	480	680	880	1080	1296	1513	1613	1700	1837	2017	2236	2499	2766	3033	3300	3567	3750	3850	3950	4050	4150	4250	4350	4680	5230	5780	6069	6372	6691	7026	7377	7746	8133	8540	8967	9415	9886	10380	10899	11444	12016	12617	13248	13910	14606	15336	16103	16908	17753	18641	19573	20552	21579	22658	23791	24981	26230	27541	28918	30364	31883	33477	35151	36908	38753	40691	42726	44862	47105	49460	51933	54530	57257	60119	63125	66282	69596	73075	76729	80566	84594	88824	93265	97928	102824	107966
