Start Time	2010-01-01	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	
End Time	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	2101-01-01	
DE PV Total	39332	39332	39332	39332	39332	39332	40679	42339	45181	49016	63721	65824	67996	70240	72558	74952	77425	79980	82620	85346	88163	91072	94077	97182	100389	103702	107124	110659	114311	118083	121980	126005	130163	134459	138896	143479	148214	153105	158158	163377	168768	174338	180091	186034	192173	198515	205066	211833	218823	226044	233504	241209	249169	257392	265886	274660	283724	293087	302759	312750	323070	333732	344745	356122	367874	380013	392554	405508	418890	432713	446993	461744	476981	492721	508981	525778	543128	561052	579566	598692	618449	638858	659940	681718	704215	727454	751460	776258	801874	828336	855671	
DE PV North	9956	9956	9956	9956	9956	9956	10297	10717	11437	12407	17493	18414	19403	20078	20514	20953	21389	21827	22263	22701	23138	23576	24013	24450	24887	25325	25762	26200	26636	27074	27511	27896	28287	28683	29084	29491	29904	30323	30748	31178	31614	32057	32506	32961	33422	33890	34365	34846	35334	35828	36330	36839	37354	37877	38408	38945	39491	40043	40604	41172	41749	42333	42926	43527	44136	44754	45381	46016	46660	47314	47976	48648	49329	50019	50720	51430	52150	52880	53620	54371	55132	55904	56687	57480	58285	59101	59928	60767	61618	62481	63355	
DE PVSAT BR 2976 52.5 13.75 Generator	2981	2981	2981	2981	2981	2981	3083	3209	3424	3715	8078.425737	9047.145164	9759.406049	10336.55133	10705.91814	11086.51605	11475.50015	11867.46352	12257.50316	12644.51918	13027.99729	13406.33512	13655.19921	13903.85608	14152.51295	14401.16981	14649.61947	14898.69077	15147.14043	15395.59008	15644.24695	"15,881.03"	"16,105.27"	"16,316.33"	"16,513.64"	"16,696.63"	"16,864.75"	"17,017.53"	"17,154.53"	"17,275.33"	"17,379.60"	"17,467.00"	"17,537.29"	"17,590.27"	"17,625.75"	"17,643.64"	"17,643.88"	"17,626.49"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	"17,591.51"	
DE PVSAT MV 3152 53.5 12.5 Generator	1415	1415	1415	1415	1415	1415	1463	1523	1625	1763	2310.923324	2709.061845	2957.335327	3183.978348	3376.656989	3588.451401	3818.356229	4061.147108	4310.967855	4566.4234	4827.877213	5093.322653	5187.870869	5282.340361	5376.809853	5471.279345	5565.670112	5660.297053	5754.68782	5849.078588	5943.548079	"6,033.51"	"6,118.69"	"6,198.88"	"6,273.85"	"6,343.36"	"6,407.24"	"6,465.28"	"6,517.33"	"6,563.23"	"6,602.84"	"6,636.05"	"6,662.76"	"6,682.88"	"6,696.36"	"6,703.16"	"6,703.25"	"6,696.64"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	"6,683.35"	
DE PVSAT NS 2968 52.5 8.75 Generator	3600	3600	3600	3600	3600	3600	3723	3875	4135	4486	5850.852547	5903.795704	6246.103343	6509.687119	6686.647768	6877.277849	7082.581067	7302.004263	7533.233479	7776.436433	8032.882705	8302.187108	8456.302023	8610.288615	8764.275207	8918.261799	9072.120068	9226.363304	9380.221575	9534.079844	9688.066436	"9,834.69"	"9,973.56"	"10,104.27"	"10,226.45"	"10,339.77"	"10,443.89"	"10,538.51"	"10,623.35"	"10,698.16"	"10,762.72"	"10,816.85"	"10,860.39"	"10,893.19"	"10,915.16"	"10,926.24"	"10,926.39"	"10,915.61"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	"10,893.95"	
DE PVSAT SH 3238 54.0 10.625 Generator	1960	1960	1960	1960	1960	1960	2027	2110	2251	2443	3704.332104	3767.312772	3830.136249	3892.959725	3955.8356	3955.940393	3955.940393	3955.940393	3955.940393	3955.940393	3955.940393	3955.940393	3955.940393	3955.940393	3955.940393	3955.940393	3955.940393	3955.940393	3955.940393	3955.940393	3955.940393	"4,015.81"	"4,072.52"	"4,125.89"	"4,175.79"	"4,222.05"	"4,264.57"	"4,303.20"	"4,337.84"	"4,368.39"	"4,394.76"	"4,416.85"	"4,434.63"	"4,448.03"	"4,457.00"	"4,461.52"	"4,461.59"	"4,457.19"	"4,448.35"	"4,435.07"	8793.333333	8916	9041.333333	9168	9296	9425.333333	9557.333333	9692	9826.666667	9965.333333	10104	10245.33333	10389.33333	10534.66667	10682.66667	10832	10984	11137.33333	11293.33333	11450.66667	11612	11774.66667	11938.66667	12106.66667	12276	12448	12621.33333	12798.66667	12977.33333	13158.66667	13344	13530.66667	13720	13912	14106.66667	14304	14504	14708	14913.33333	15122.66667	15333.33333	
Total Offshore	0	0	0	400	1400	2400	3400	4400	5400	6482	7563	8063	8501	9184	10084	11180	12494	13828	15163	16498	17833	18750	19250	19750	20250	20750	21250	21750	23400	26150	28900	30345	31862.25	33455.3625	35128.1306	36884.5372	38728.764	40665.2022	42698.4623	44833.3854	47075.0547	49428.8074	51900.2478	54495.2602	57220.0232	60081.0244	63085.0756	66239.3294	69551.2959	73028.8606	76680.3037	80514.3189	84540.0348	88767.0365	93205.3884	97865.6578	102758.9407	107896.8877	113291.7321	118956.3187	124904.1346	131149.3414	137706.8084	144592.1489	151821.7563	159412.8441	167383.4863	175752.6606	184540.2937	193767.3084	203455.6738	213628.4575	224309.8803	235525.3744	247301.6431	259666.7252	272650.0615	286282.5646	300596.6928	315626.5274	331407.8538	347978.2465	365377.1588	383646.0168	402828.3176	422969.7335	444118.2202	466324.1312	489640.3377	514122.3546	539828.4723	
Total North See	0	0	0	320	1120	1920	2720	3520	4320	5185	6050	6450	6801	7347	8067	8944	9995	11062	12130	13198	14266	15000	15400	15800	16200	16600	17000	17400	18720	20920	23120	24276	25490	26764	28103	29508	30983	32532	34159	35867	37660	39543	41520	43596	45776	48065	50468	52991	55641	58423	61344	64411	67632	71014	74564	78293	82207	86318	90633	95165	99923	104919	110165	115674	121457	127530	133907	140602	147632	155014	162765	170903	179448	188420	197841	207733	218120	229026	240477	252501	265126	278383	292302	306917	322263	338376	355295	373059	391712	411298	431863	
Total Baltic See	0	0	0	80	280	480	680	880	1080	1296	1513	1613	1700	1837	2017	2236	2499	2766	3033	3300	3567	3750	3850	3950	4050	4150	4250	4350	4680	5230	5780	6069	6372	6691	7026	7377	7746	8133	8540	8967	9415	9886	10380	10899	11444	12016	12617	13248	13910	14606	15336	16103	16908	17753	18641	19573	20552	21579	22658	23791	24981	26230	27541	28918	30364	31883	33477	35151	36908	38753	40691	42726	44862	47105	49460	51933	54530	57257	60119	63125	66282	69596	73075	76729	80566	84594	88824	93265	97928	102824	107966	
