Start Time	2010-01-01	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01
End Time	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	2101-01-01
DE Onshore 2886 BR 52.0 13.125 70M Generator NWST	322.6956753	329.2813013	336.0013279	342.8584979	349.8556101	356.9955205	364.2811433	371.7154524	379.301482	387.0423286	394.9411516	403.0011751	400.1396966	396.0262562	386.8278572	404.4862152	416.2564371	438.6845366	457.2424482	474.8553538	482.7076185	478.6964839	466.6962661	454.1023749	440.9990942	427.1536778	405.4142168	384.4830233	363.7700812	344.4256165	326.9872055	318.9889965	310.6549212	302.5954682	293.4040101	283.6154617	273.066984	261.1362304	249.9010618	237.7074857	224.4679238	215.90164	206.6155143	196.6281024	185.9585062	174.6262105	162.6509345	150.0524973	136.8506981	123.065209	108.7154804	93.82065882	78.39951516	62.47038359	46.05110992	29.15900872	11.81082831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Onshore 2977 BR 52.5 14.375 70M Generator NWST	322.6956753	329.2813013	336.0013279	342.8584979	349.8556101	356.9955205	364.2811433	371.7154524	379.301482	387.0423286	394.9411516	403.0011751	400.1396966	396.0262562	386.8278572	404.4862152	416.2564371	438.6845366	457.2424482	474.8553538	482.7076185	478.6964839	466.6962661	454.1023749	440.9990942	427.1536778	405.4142168	384.4830233	363.7700812	344.4256165	326.9872055	318.9889965	310.6549212	302.5954682	293.4040101	283.6154617	273.066984	261.1362304	249.9010618	237.7074857	224.4679238	215.90164	206.6155143	196.6281024	185.9585062	174.6262105	162.6509345	150.0524973	136.8506981	123.065209	108.7154804	93.82065882	78.39951516	62.47038359	46.05110992	29.15900872	11.81082831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Onshore 3062 BR 53.0 11.875 70M Generator NWST	322.6956753	329.2813013	336.0013279	342.8584979	349.8556101	356.9955205	364.2811433	371.7154524	379.301482	387.0423286	394.9411516	403.0011751	400.1396966	396.0262562	386.8278572	404.4862152	416.2564371	438.6845366	457.2424482	474.8553538	482.7076185	478.6964839	466.6962661	454.1023749	440.9990942	427.1536778	405.4142168	384.4830233	363.7700812	344.4256165	326.9872055	318.9889965	310.6549212	302.5954682	293.4040101	283.6154617	273.066984	261.1362304	249.9010618	237.7074857	224.4679238	215.90164	206.6155143	196.6281024	185.9585062	174.6262105	162.6509345	150.0524973	136.8506981	123.065209	108.7154804	93.82065882	78.39951516	62.47038359	46.05110992	29.15900872	11.81082831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Onshore 3064 BR 53.0 13.125 70M Generator NWST	322.6956753	329.2813013	336.0013279	342.8584979	349.8556101	356.9955205	364.2811433	371.7154524	379.301482	387.0423286	394.9411516	403.0011751	400.1396966	396.0262562	386.8278572	404.4862152	416.2564371	438.6845366	457.2424482	474.8553538	482.7076185	478.6964839	466.6962661	454.1023749	440.9990942	427.1536778	405.4142168	384.4830233	363.7700812	344.4256165	326.9872055	318.9889965	310.6549212	302.5954682	293.4040101	283.6154617	273.066984	261.1362304	249.9010618	237.7074857	224.4679238	215.90164	206.6155143	196.6281024	185.9585062	174.6262105	162.6509345	150.0524973	136.8506981	123.065209	108.7154804	93.82065882	78.39951516	62.47038359	46.05110992	29.15900872	11.81082831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Onshore 2168 BW 48.0 9.375 70M Generator NWST	95.93579838	97.89367182	99.89150186	101.9301039	104.0103101	106.1329695	108.2989485	110.5091311	112.7644195	115.0657342	117.4140145	119.8102189	114.9704422	128.5512712	135.3464807	146.3329965	153.2690711	160.3664973	166.1516542	170.2033592	171.9113557	170.8615317	166.6284101	162.1239137	157.4475227	152.4962241	144.7567449	137.2557064	129.8750821	122.9432863	116.7266232	113.8633369	110.8884831	108.0116559	104.7307587	101.2367298	97.47144361	93.2127531	89.2023521	84.84984691	80.12397639	77.06623562	73.75154679	70.1865334	66.37801387	62.33294332	58.05836048	53.56133985	48.84894875	43.92820912	38.80606385	33.48934727	27.98475967	22.29884544	16.43797466	10.40832777	4.215883109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Onshore 2255 BW 48.5 8.125 70M Generator NWST	95.93579838	97.89367182	99.89150186	101.9301039	104.0103101	106.1329695	108.2989485	110.5091311	112.7644195	115.0657342	117.4140145	119.8102189	114.9704422	128.5512712	135.3464807	146.3329965	153.2690711	160.3664973	166.1516542	170.2033592	171.9113557	170.8615317	166.6284101	162.1239137	157.4475227	152.4962241	144.7567449	137.2557064	129.8750821	122.9432863	116.7266232	113.8633369	110.8884831	108.0116559	104.7307587	101.2367298	97.47144361	93.2127531	89.2023521	84.84984691	80.12397639	77.06623562	73.75154679	70.1865334	66.37801387	62.33294332	58.05836048	53.56133985	48.84894875	43.92820912	38.80606385	33.48934727	27.98475967	22.29884544	16.43797466	10.40832777	4.215883109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Onshore 2435 BW 49.5 9.375 70M Generator NWST	95.93579838	97.89367182	99.89150186	101.9301039	104.0103101	106.1329695	108.2989485	110.5091311	112.7644195	115.0657342	117.4140145	119.8102189	114.9704422	128.5512712	135.3464807	146.3329965	153.2690711	160.3664973	166.1516542	170.2033592	171.9113557	170.8615317	166.6284101	162.1239137	157.4475227	152.4962241	144.7567449	137.2557064	129.8750821	122.9432863	116.7266232	113.8633369	110.8884831	108.0116559	104.7307587	101.2367298	97.47144361	93.2127531	89.2023521	84.84984691	80.12397639	77.06623562	73.75154679	70.1865334	66.37801387	62.33294332	58.05836048	53.56133985	48.84894875	43.92820912	38.80606385	33.48934727	27.98475967	22.29884544	16.43797466	10.40832777	4.215883109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Onshore 2170 BY 48.0 10.625 70M Generator NWST	75.71677111	77.26201133	78.83878708	80.44774191	82.08953257	83.76482915	85.47431546	87.21868924	88.99866249	90.81496173	92.66832829	94.55951867	86.40515567	86.78733926	88.38482883	96.7874084	102.3029695	108.4598854	114.7385827	120.9851719	127.3835913	131.3899917	128.0962878	124.6330995	121.0460803	117.2337179	111.268609	105.5170643	99.84691718	94.5228966	89.73701664	87.54316855	85.2559694	83.04413747	80.52163863	77.83527469	74.94035614	71.66608656	68.58271292	65.23631446	61.60285622	59.2519299	56.70345055	53.9625106	51.03435237	47.92432325	44.63783494	41.18032662	37.55723195	33.77394973	29.83581794	25.74809112	21.51592075	17.14433846	12.63824183	8.002382661	3.241357365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DE Onshore 2172 BY 48.0 11.875 70M Generator NWST	75.71677111	77.26201133	78.83878708	80.44774191	82.08953257	83.76482915	85.47431546	87.21868924	88.99866249	90.81496173	92.66832829	94.55951867	86.40515567	86.78733926	88.38482883	96.7874084	102.3029695	108.4598854	114.7385827	120.9851719	127.3835913	131.3899917	128.0962878	124.6330995	121.0460803	117.2337179	111.268609	105.5170643	99.84691718	94.5228966	89.73701664	87.54316855	85.2559694	83.04413747	80.52163863	77.83527469	74.94035614	71.66608656	68.58271292	65.23631446	61.60285622	59.2519299	56.70345055	53.9625106	51.03435237	47.92432325	44.63783494	41.18032662	37.55723195	33.77394973	29.83581794	25.74809112	21.51592075	17.14433846	12.63824183	8.002382661	3.241357365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
