Start Time	2010-01-01	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01
End Time	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	2101-01-01
PV Installed	2873.937308	3025.197167	3184.41807	3352.019021	3528.441075	3714.1485	3909.63	4115.4	4332	4560	4800	4944	5092.32	5245.0896	5402.442288	5564.515557	5731.451023	5903.394554	6080.496391	6262.911282	6450.798621	6644.322579	6843.652257	7048.961825	7260.430679	7478.2436	7702.590908	7933.668635	8171.678694	8416.829055	8669.333926	8929.413944	9197.296363	9473.215253	9757.411711	10050.13406	10351.63808	10662.18723	10982.05284	11311.51443	11650.85986	12000.38566	12360.39723	12731.20914	13113.14542	13506.53978	13911.73597	14329.08805	14758.9607	15201.72952	15657.7814	16127.51484	16611.34029	17109.6805	17622.97091	18151.66004	18696.20984	19257.09614	19834.80902	20429.85329	21042.74889	21674.03136	22324.2523	22993.97987	23683.79926	24394.31324	25126.14264	25879.92692	26656.32472	27456.01447	28279.6949	29128.08575	30001.92832	30901.98617	31829.04575	32783.91713	33767.43464	34780.45768	35823.87141	36898.58755	38005.54518	39145.71153	40320.08288	41529.68537	42775.57593	44058.8432	45380.6085	46742.02676	48144.28756	49588.61619	51076.27467
IT PVSAT 1544 44.5 8.75 Generator	478.9895513	504.1995278	530.736345	558.6698368	588.0735125	619.02475	651.605	685.9	722	760	800	824	848.72	874.1816	900.407048	927.4192595	955.2418372	983.8990923	1013.416065	1043.818547	1075.133104	1107.387097	1140.60871	1174.826971	1210.07178	1246.373933	1283.765151	1322.278106	1361.946449	1402.804843	1444.888988	1488.235657	1532.882727	1578.869209	1626.235285	1675.022343	1725.273013	1777.031205	1830.34214	1885.252405	1941.809977	2000.064277	2060.066205	2121.86819	2185.524237	2251.089963	2318.622662	2388.181342	2459.826783	2533.621587	2609.630233	2687.91914	2768.556715	2851.613417	2937.161818	3025.276673	3116.034973	3209.516023	3305.801503	3404.975548	3507.124815	3612.33856	3720.708717	3832.329978	3947.299877	4065.718873	4187.69044	4313.321153	4442.720787	4576.002412	4713.282483	4854.680958	5000.321387	5150.331028	5304.840958	5463.986188	5627.905773	5796.742947	5970.645235	6149.764592	6334.25753	6524.285255	6720.013813	6921.614228	7129.262655	7343.140533	7563.43475	7790.337793	8024.047927	8264.769365	8512.712445
IT PVSAT 1631 45.0 7.5 Generator	478.9895513	504.1995278	530.736345	558.6698368	588.0735125	619.02475	651.605	685.9	722	760	800	824	848.72	874.1816	900.407048	927.4192595	955.2418372	983.8990923	1013.416065	1043.818547	1075.133104	1107.387097	1140.60871	1174.826971	1210.07178	1246.373933	1283.765151	1322.278106	1361.946449	1402.804843	1444.888988	1488.235657	1532.882727	1578.869209	1626.235285	1675.022343	1725.273013	1777.031205	1830.34214	1885.252405	1941.809977	2000.064277	2060.066205	2121.86819	2185.524237	2251.089963	2318.622662	2388.181342	2459.826783	2533.621587	2609.630233	2687.91914	2768.556715	2851.613417	2937.161818	3025.276673	3116.034973	3209.516023	3305.801503	3404.975548	3507.124815	3612.33856	3720.708717	3832.329978	3947.299877	4065.718873	4187.69044	4313.321153	4442.720787	4576.002412	4713.282483	4854.680958	5000.321387	5150.331028	5304.840958	5463.986188	5627.905773	5796.742947	5970.645235	6149.764592	6334.25753	6524.285255	6720.013813	6921.614228	7129.262655	7343.140533	7563.43475	7790.337793	8024.047927	8264.769365	8512.712445
IT PVSAT 1636 45.0 10.625 Generator	478.9895513	504.1995278	530.736345	558.6698368	588.0735125	619.02475	651.605	685.9	722	760	800	824	848.72	874.1816	900.407048	927.4192595	955.2418372	983.8990923	1013.416065	1043.818547	1075.133104	1107.387097	1140.60871	1174.826971	1210.07178	1246.373933	1283.765151	1322.278106	1361.946449	1402.804843	1444.888988	1488.235657	1532.882727	1578.869209	1626.235285	1675.022343	1725.273013	1777.031205	1830.34214	1885.252405	1941.809977	2000.064277	2060.066205	2121.86819	2185.524237	2251.089963	2318.622662	2388.181342	2459.826783	2533.621587	2609.630233	2687.91914	2768.556715	2851.613417	2937.161818	3025.276673	3116.034973	3209.516023	3305.801503	3404.975548	3507.124815	3612.33856	3720.708717	3832.329978	3947.299877	4065.718873	4187.69044	4313.321153	4442.720787	4576.002412	4713.282483	4854.680958	5000.321387	5150.331028	5304.840958	5463.986188	5627.905773	5796.742947	5970.645235	6149.764592	6334.25753	6524.285255	6720.013813	6921.614228	7129.262655	7343.140533	7563.43475	7790.337793	8024.047927	8264.769365	8512.712445
IT PVSAT 1812 46.0 9.375 Generator	478.9895513	504.1995278	530.736345	558.6698368	588.0735125	619.02475	651.605	685.9	722	760	800	824	848.72	874.1816	900.407048	927.4192595	955.2418372	983.8990923	1013.416065	1043.818547	1075.133104	1107.387097	1140.60871	1174.826971	1210.07178	1246.373933	1283.765151	1322.278106	1361.946449	1402.804843	1444.888988	1488.235657	1532.882727	1578.869209	1626.235285	1675.022343	1725.273013	1777.031205	1830.34214	1885.252405	1941.809977	2000.064277	2060.066205	2121.86819	2185.524237	2251.089963	2318.622662	2388.181342	2459.826783	2533.621587	2609.630233	2687.91914	2768.556715	2851.613417	2937.161818	3025.276673	3116.034973	3209.516023	3305.801503	3404.975548	3507.124815	3612.33856	3720.708717	3832.329978	3947.299877	4065.718873	4187.69044	4313.321153	4442.720787	4576.002412	4713.282483	4854.680958	5000.321387	5150.331028	5304.840958	5463.986188	5627.905773	5796.742947	5970.645235	6149.764592	6334.25753	6524.285255	6720.013813	6921.614228	7129.262655	7343.140533	7563.43475	7790.337793	8024.047927	8264.769365	8512.712445
IT PVSAT 1817 46.0 12.5 Generator	478.9895513	504.1995278	530.736345	558.6698368	588.0735125	619.02475	651.605	685.9	722	760	800	824	848.72	874.1816	900.407048	927.4192595	955.2418372	983.8990923	1013.416065	1043.818547	1075.133104	1107.387097	1140.60871	1174.826971	1210.07178	1246.373933	1283.765151	1322.278106	1361.946449	1402.804843	1444.888988	1488.235657	1532.882727	1578.869209	1626.235285	1675.022343	1725.273013	1777.031205	1830.34214	1885.252405	1941.809977	2000.064277	2060.066205	2121.86819	2185.524237	2251.089963	2318.622662	2388.181342	2459.826783	2533.621587	2609.630233	2687.91914	2768.556715	2851.613417	2937.161818	3025.276673	3116.034973	3209.516023	3305.801503	3404.975548	3507.124815	3612.33856	3720.708717	3832.329978	3947.299877	4065.718873	4187.69044	4313.321153	4442.720787	4576.002412	4713.282483	4854.680958	5000.321387	5150.331028	5304.840958	5463.986188	5627.905773	5796.742947	5970.645235	6149.764592	6334.25753	6524.285255	6720.013813	6921.614228	7129.262655	7343.140533	7563.43475	7790.337793	8024.047927	8264.769365	8512.712445
IT PVSAT 1904 46.5 11.25 Generator	478.9895513	504.1995278	530.736345	558.6698368	588.0735125	619.02475	651.605	685.9	722	760	800	824	848.72	874.1816	900.407048	927.4192595	955.2418372	983.8990923	1013.416065	1043.818547	1075.133104	1107.387097	1140.60871	1174.826971	1210.07178	1246.373933	1283.765151	1322.278106	1361.946449	1402.804843	1444.888988	1488.235657	1532.882727	1578.869209	1626.235285	1675.022343	1725.273013	1777.031205	1830.34214	1885.252405	1941.809977	2000.064277	2060.066205	2121.86819	2185.524237	2251.089963	2318.622662	2388.181342	2459.826783	2533.621587	2609.630233	2687.91914	2768.556715	2851.613417	2937.161818	3025.276673	3116.034973	3209.516023	3305.801503	3404.975548	3507.124815	3612.33856	3720.708717	3832.329978	3947.299877	4065.718873	4187.69044	4313.321153	4442.720787	4576.002412	4713.282483	4854.680958	5000.321387	5150.331028	5304.840958	5463.986188	5627.905773	5796.742947	5970.645235	6149.764592	6334.25753	6524.285255	6720.013813	6921.614228	7129.262655	7343.140533	7563.43475	7790.337793	8024.047927	8264.769365	8512.712445
Total Offshore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Total Onshore 100M Generator NWST	50	50	50	50	50	50	50	50	50	50	50	56	62	68	74	80	86	92	98	104	110	116	122	128	134	140	146	152	158	164	170	176	182	188	194	200	206	212	218	224	230	236	242	248	254	260	266	272	278	284	290	296	302	308	314	320	326	332	338	344	350	356	362	368	374	380	386	392	398	404	410	416	422	428	434	440	446	452	458	464	470	476	482	488	494	500	506	512	518	524	530
Wind in Model	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
Onshore Balance	0	0	0	0	0	0	0	0	0	0	0	6	12	18	24	30	36	42	48	54	60	66	72	78	84	90	96	102	108	114	120	126	132	138	144	150	156	162	168	174	180	186	192	198	204	210	216	222	228	234	240	246	252	258	264	270	276	282	288	294	300	306	312	318	324	330	336	342	348	354	360	366	372	378	384	390	396	402	408	414	420	426	432	438	444	450	456	462	468	474	480
IT Offshore 1462 44.0 13.125 70M Generator NWST	2.272727273	2.272727273	2.272727273	2.272727273	2.272727273	2.272727273	2.272727273	2.272727273	2.272727273	2.272727273	2.272727273	2.545454545	2.818181818	3.090909091	3.363636364	3.636363636	3.909090909	4.181818182	4.454545455	4.727272727	5	5.272727273	5.545454545	5.818181818	6.090909091	6.363636364	6.636363636	6.909090909	7.181818182	7.454545455	7.727272727	8	8.272727273	8.545454545	8.818181818	9.090909091	9.363636364	9.636363636	9.909090909	10.18181818	10.45454545	10.72727273	11	11.27272727	11.54545455	11.81818182	12.09090909	12.36363636	12.63636364	12.90909091	13.18181818	13.45454545	13.72727273	14	14.27272727	14.54545455	14.81818182	15.09090909	15.36363636	15.63636364	15.90909091	16.18181818	16.45454545	16.72727273	17	17.27272727	17.54545455	17.81818182	18.09090909	18.36363636	18.63636364	18.90909091	19.18181818	19.45454545	19.72727273	20	20.27272727	20.54545455	20.81818182	21.09090909	21.36363636	21.63636364	21.90909091	22.18181818	22.45454545	22.72727273	23	23.27272727	23.54545455	23.81818182	24.09090909
IT Offshore 1639 45.0 12.5 70M Generator NWST	2.272727273	2.272727273	2.272727273	2.272727273	2.272727273	2.272727273	2.272727273	2.272727273	2.272727273	2.272727273	2.272727273	2.545454545	2.818181818	3.090909091	3.363636364	3.636363636	3.909090909	4.181818182	4.454545455	4.727272727	5	5.272727273	5.545454545	5.818181818	6.090909091	6.363636364	6.636363636	6.909090909	7.181818182	7.454545455	7.727272727	8	8.272727273	8.545454545	8.818181818	9.090909091	9.363636364	9.636363636	9.909090909	10.18181818	10.45454545	10.72727273	11	11.27272727	11.54545455	11.81818182	12.09090909	12.36363636	12.63636364	12.90909091	13.18181818	13.45454545	13.72727273	14	14.27272727	14.54545455	14.81818182	15.09090909	15.36363636	15.63636364	15.90909091	16.18181818	16.45454545	16.72727273	17	17.27272727	17.54545455	17.81818182	18.09090909	18.36363636	18.63636364	18.90909091	19.18181818	19.45454545	19.72727273	20	20.27272727	20.54545455	20.81818182	21.09090909	21.36363636	21.63636364	21.90909091	22.18181818	22.45454545	22.72727273	23	23.27272727	23.54545455	23.81818182	24.09090909
