Start Time	2010-01-01	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01
End Time	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	2101-01-01
Onshore_existing_subsidised_extrinsic	0	0	0	0	0	0	0	0	0	0	0	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Onshore_new2019_nonSubsidised_intrinsic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6424	7521.6	8619.2	8965.9	9312.7	9659.4	9781.6	9903.9	10026.2	10122	10217.8	10288.1	10358.5	10910.1	11461.8	12013.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Onshore_new2019_subsidised_extrinsic	0	0	0	0	0	0	0	0	0	0	0	720.1583318	1070.575688	1419.343466	1693.880265	1886.173851	2066.684741	2232.349436	2318.127457	2305.6378	2320.36617	2383.786527	2421.645799	2447.525385	2482.997281	2523.655058	2558.622191	2592.866289	2629.201515	2665.752574	2701.276953	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Total Onshore	107.6805869	207.6805869	307.6805869	407.6805869	507.6805869	607.6805869	707.6805869	807.6805869	907.6805869	1007.680587	1107.680587	1207.680587	1285.820916	1363.593401	1424.812959	1467.792925	1508.045441	1544.987372	1766.415199	1965.030103	2169.714414	2270.756658	2365.998979	2458.569924	2496.87988	2536.246246	2544.043643	2551.679809	2559.78228	2567.93288	2575.854539	2675.854539	2775.854539	2875.854539	2975.854539	3075.854539	3175.854539	3275.854539	3375.854539	3475.854539	3575.854539	3675.854539	3775.854539	3875.854539	3975.854539	4075.854539	4175.854539	4275.854539	4375.854539	4475.854539	4575.854539	4675.854539	4775.854539	4875.854539	4975.854539	5075.854539	5175.854539	5275.854539	5375.854539	5475.854539	5575.854539	5675.854539	5775.854539	5875.854539	5975.854539	6075.854539	6175.854539	6275.854539	6375.854539	6475.854539	6575.854539	6675.854539	6775.854539	6875.854539	6975.854539	7075.854539	7175.854539	7275.854539	7375.854539	7475.854539	7575.854539	7675.854539	7775.854539	7875.854539	7975.854539	8075.854539	8175.854539	8275.854539	8375.854539	8475.854539	8575.854539
Total PV	75.76904603	85.76904603	95.76904603	105.769046	115.769046	125.769046	135.769046	145.769046	155.769046	165.769046	175.769046	185.769046	188.8111593	191.8532725	194.8953857	197.937499	200.9796122	204.0217254	207.0638386	210.1059519	213.1480651	216.1901783	219.2322916	222.2744048	225.316518	228.3586313	231.4007445	234.4428577	237.4849709	240.5270842	243.5691974	248.5691974	253.5691974	258.5691974	263.5691974	268.5691974	273.5691974	278.5691974	283.5691974	288.5691974	293.5691974	298.5691974	303.5691974	308.5691974	313.5691974	318.5691974	323.5691974	328.5691974	333.5691974	338.5691974	343.5691974	348.5691974	353.5691974	358.5691974	363.5691974	368.5691974	373.5691974	378.5691974	383.5691974	388.5691974	393.5691974	398.5691974	403.5691974	408.5691974	413.5691974	418.5691974	423.5691974	428.5691974	433.5691974	438.5691974	443.5691974	448.5691974	453.5691974	458.5691974	463.5691974	468.5691974	473.5691974	478.5691974	483.5691974	488.5691974	493.5691974	498.5691974	503.5691974	508.5691974	513.5691974	518.5691974	523.5691974	528.5691974	533.5691974	538.5691974	543.5691974
IT PVSAT 744 40.0 9.375 Generator	75.76904603	85.76904603	95.76904603	105.769046	115.769046	125.769046	135.769046	145.769046	155.769046	165.769046	175.769046	185.769046	188.8111593	191.8532725	194.8953857	197.937499	200.9796122	204.0217254	207.0638386	210.1059519	213.1480651	216.1901783	219.2322916	222.2744048	225.316518	228.3586313	231.4007445	234.4428577	237.4849709	240.5270842	243.5691974	248.5691974	253.5691974	258.5691974	263.5691974	268.5691974	273.5691974	278.5691974	283.5691974	288.5691974	293.5691974	298.5691974	303.5691974	308.5691974	313.5691974	318.5691974	323.5691974	328.5691974	333.5691974	338.5691974	343.5691974	348.5691974	353.5691974	358.5691974	363.5691974	368.5691974	373.5691974	378.5691974	383.5691974	388.5691974	393.5691974	398.5691974	403.5691974	408.5691974	413.5691974	418.5691974	423.5691974	428.5691974	433.5691974	438.5691974	443.5691974	448.5691974	453.5691974	458.5691974	463.5691974	468.5691974	473.5691974	478.5691974	483.5691974	488.5691974	493.5691974	498.5691974	503.5691974	508.5691974	513.5691974	518.5691974	523.5691974	528.5691974	533.5691974	538.5691974	543.5691974
IT Onshore 654 39.5 8.75 70M Generator NWST	17.94676448	34.61343114	51.28009781	67.94676448	84.61343114	101.2800978	117.9467645	134.6134311	151.2800978	167.9467645	184.6134311	201.2800978	214.3034859	227.2655669	237.4688266	244.6321541	251.3409068	257.4978953	294.4025332	327.5050172	361.6190691	378.459443	394.3331632	409.7616541	416.1466466	422.7077077	424.0072739	425.2799682	426.63038	427.9888134	429.3090898	445.9757565	462.6424231	479.3090898	495.9757565	512.6424231	529.3090898	545.9757565	562.6424231	579.3090898	595.9757565	612.6424231	629.3090898	645.9757565	662.6424231	679.3090898	695.9757565	712.6424231	729.3090898	745.9757565	762.6424231	779.3090898	795.9757565	812.6424231	829.3090898	845.9757565	862.6424231	879.3090898	895.9757565	912.6424231	929.3090898	945.9757565	962.6424231	979.3090898	995.9757565	1012.642423	1029.30909	1045.975756	1062.642423	1079.30909	1095.975756	1112.642423	1129.30909	1145.975756	1162.642423	1179.30909	1195.975756	1212.642423	1229.30909	1245.975756	1262.642423	1279.30909	1295.975756	1312.642423	1329.30909	1345.975756	1362.642423	1379.30909	1395.975756	1412.642423	1429.30909
IT Onshore 655 39.5 9.375 70M Generator NWST	17.94676448	34.61343114	51.28009781	67.94676448	84.61343114	101.2800978	117.9467645	134.6134311	151.2800978	167.9467645	184.6134311	201.2800978	214.3034859	227.2655669	237.4688266	244.6321541	251.3409068	257.4978953	294.4025332	327.5050172	361.6190691	378.459443	394.3331632	409.7616541	416.1466466	422.7077077	424.0072739	425.2799682	426.63038	427.9888134	429.3090898	445.9757565	462.6424231	479.3090898	495.9757565	512.6424231	529.3090898	545.9757565	562.6424231	579.3090898	595.9757565	612.6424231	629.3090898	645.9757565	662.6424231	679.3090898	695.9757565	712.6424231	729.3090898	745.9757565	762.6424231	779.3090898	795.9757565	812.6424231	829.3090898	845.9757565	862.6424231	879.3090898	895.9757565	912.6424231	929.3090898	945.9757565	962.6424231	979.3090898	995.9757565	1012.642423	1029.30909	1045.975756	1062.642423	1079.30909	1095.975756	1112.642423	1129.30909	1145.975756	1162.642423	1179.30909	1195.975756	1212.642423	1229.30909	1245.975756	1262.642423	1279.30909	1295.975756	1312.642423	1329.30909	1345.975756	1362.642423	1379.30909	1395.975756	1412.642423	1429.30909
IT Onshore 832 40.5 8.75 70M Generator NWST	17.94676448	34.61343114	51.28009781	67.94676448	84.61343114	101.2800978	117.9467645	134.6134311	151.2800978	167.9467645	184.6134311	201.2800978	214.3034859	227.2655669	237.4688266	244.6321541	251.3409068	257.4978953	294.4025332	327.5050172	361.6190691	378.459443	394.3331632	409.7616541	416.1466466	422.7077077	424.0072739	425.2799682	426.63038	427.9888134	429.3090898	445.9757565	462.6424231	479.3090898	495.9757565	512.6424231	529.3090898	545.9757565	562.6424231	579.3090898	595.9757565	612.6424231	629.3090898	645.9757565	662.6424231	679.3090898	695.9757565	712.6424231	729.3090898	745.9757565	762.6424231	779.3090898	795.9757565	812.6424231	829.3090898	845.9757565	862.6424231	879.3090898	895.9757565	912.6424231	929.3090898	945.9757565	962.6424231	979.3090898	995.9757565	1012.642423	1029.30909	1045.975756	1062.642423	1079.30909	1095.975756	1112.642423	1129.30909	1145.975756	1162.642423	1179.30909	1195.975756	1212.642423	1229.30909	1245.975756	1262.642423	1279.30909	1295.975756	1312.642423	1329.30909	1345.975756	1362.642423	1379.30909	1395.975756	1412.642423	1429.30909
