Start Time	2010-01-01	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01
End Time	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	2101-01-01
Onshore_existing_subsidised_extrinsic	0	0	0	0	0	0	0	0	0	0	0	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Onshore_new2019_nonSubsidised_intrinsic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6424	7521.6	8619.2	8965.9	9312.7	9659.4	9781.6	9903.9	10026.2	10122	10217.8	10288.1	10358.5	10910.1	11461.8	12013.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Onshore_new2019_subsidised_extrinsic	0	0	0	0	0	0	0	0	0	0	0	720.1583318	1070.575688	1419.343466	1693.880265	1886.173851	2066.684741	2232.349436	2318.127457	2305.6378	2320.36617	2383.786527	2421.645799	2447.525385	2482.997281	2523.655058	2558.622191	2592.866289	2629.201515	2665.752574	2701.276953	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Total Onshore	4315.798031	4415.798031	4515.798031	4615.798031	4715.798031	4815.798031	4915.798031	5015.798031	5115.798031	5215.798031	5315.798031	5415.798031	5766.215386	6114.983165	6389.519963	13005.81355	14283.92444	15547.18913	15979.66716	16313.9775	16675.40587	16861.02623	17021.1855	17169.36508	17300.63698	17437.09476	17542.36189	17647.00599	18234.94121	18823.19227	19410.41665	19985.68339	20548.38351	21097.9994	21634.10025	22156.33728	22664.43869	23158.20449	23637.50128	24102.25707	24552.45612	24988.13389	25409.37222	25816.29462	26209.0618	26587.86736	26952.93387	27304.50899	27642.86201	27968.28056	28281.06755	28581.53837	28870.01838	29146.84049	29412.34311	29666.86817	29910.75943	30144.36091	30368.01551	30582.0638	30786.84295	30982.6858	31169.92002	31348.86745	31519.84348	31683.15659	31839.1079	31987.99089	32130.09112	32265.68602	32395.0448	32518.42833	32636.08912	32748.27132	32855.21074	32957.13493	33054.2633	33146.80719	33234.97002	33318.94749	33398.92766	33475.09121	33547.61159	33616.6552	33682.38162	33744.9438	33804.48826	33861.15532	33915.07927	33966.3886	34015.20621
Total PV	874.0038363	874.0038363	874.0038363	874.0038363	874.0038363	874.0038363	874.0038363	874.0038363	874.0038363	874.0038363	874.0038363	874.0038363	874.0038363	888.3163317	902.6288272	916.9413227	931.3538182	945.6663137	959.9788092	1041.491305	1122.2038	1202.816296	1283.828791	1364.741287	1445.753782	1560.066278	1674.378773	1788.691269	1903.003764	1940.11626	1977.228755	2014.341251	2050.259891	2082.737954	2147.636364	2210.282037	2270.705281	2328.941061	2385.028393	2439.009779	2490.930682	2540.839041	2588.784821	2634.819603	2678.996211	2721.368364	2761.990377	2800.916873	2838.202544	2873.901922	2908.069187	2940.757992	2972.021314	3001.911323	3030.479269	3057.775388	3083.848821	3108.747548	3132.518336	3155.206698	3176.856859	3197.511735	3217.21292	3236.000678	3253.913945	3270.990329	3287.266128	3302.776338	3317.554674	3331.633593	3345.044313	3357.816847	3369.980023	3381.561519	3392.587892	3403.084611	3413.076085	3422.585702	3431.635858	3440.247988	3448.442605	3456.239326	3463.656909	3470.71328	3477.425571	3483.810143	3489.882622	3495.657923	3501.150284	3506.37329	3511.3399
IT PVSAT 397 38.0 15.0 Generator	145.667306	145.667306	145.667306	145.667306	145.667306	145.667306	145.667306	145.667306	145.667306	145.667306	448.634612	648.634612	848.634612	1053.405444	1358.176276	1762.947108	2182.651272	2602.322104	3110.392936	3640.963768	4171.267934	4902.938766	5634.84293	6366.713762	6393.717928	6431.822092	7155.326258	7878.830422	8598.734588	9293.00542	9987.276252	671.4470836	683.4199638	694.2459846	715.878788	736.760679	756.9017604	776.3136872	795.0094644	813.0032596	830.3102274	846.9463468	862.9282736	878.273201	892.9987368	907.1227882	920.663459	933.6389578	946.0675148	957.9673074	969.3563956	980.2526638	990.6737712	1000.637108	1010.159756	1019.258463	1027.949607	1036.249183	1044.172779	1051.735566	1058.952286	1065.837245	1072.404307	1078.666893	1084.637982	1090.33011	1095.755376	1100.925446	1105.851558	1110.544531	1115.014771	1119.272282	1123.326674	1127.187173	1130.862631	1134.361537	1137.692028	1140.861901	1143.878619	1146.749329	1149.480868	1152.079775	1154.552303	1156.904427	1159.141857	1161.270048	1163.294207	1165.219308	1167.050095	1168.791097	1170.446633
IT Onshore 219 37.0 15.0 70M Generator NWST	359.6498359	367.9831693	376.3165026	384.6498359	392.9831693	401.3165026	409.6498359	417.9831693	426.3165026	434.6498359	442.9831693	451.3165026	480.5179488	509.5819304	532.4599969	1083.817796	1190.327037	1295.599094	1331.63893	1359.498125	1389.617156	1405.085519	1418.432125	1430.780423	1441.719748	1453.09123	1461.863491	1470.583833	1519.578434	1568.599356	1617.534721	1665.473616	1712.365293	1758.166617	1802.841688	1846.36144	1888.703224	1929.850374	1969.791773	2008.521423	2046.03801	2082.344491	2117.447685	2151.357885	2184.088483	2215.655613	2246.077823	2275.375749	2303.571834	2330.690047	2356.755629	2381.794864	2405.834865	2428.903374	2451.028593	2472.239014	2492.563286	2512.030076	2530.667959	2548.505317	2565.570246	2581.890483	2597.493335	2612.405621	2626.653623	2640.263049	2653.258992	2665.665908	2677.507593	2688.807168	2699.587067	2709.869028	2719.674093	2729.02261	2737.934228	2746.427911	2754.521942	2762.233933	2769.580835	2776.578958	2783.243972	2789.590934	2795.634299	2801.387933	2806.865135	2812.07865	2817.040688	2821.762943	2826.256606	2830.532383	2834.600518
IT Onshore 306 37.5 13.75 70M Generator NWST	359.6498359	367.9831693	376.3165026	384.6498359	392.9831693	401.3165026	409.6498359	417.9831693	426.3165026	434.6498359	442.9831693	451.3165026	480.5179488	509.5819304	532.4599969	1083.817796	1190.327037	1295.599094	1331.63893	1359.498125	1389.617156	1405.085519	1418.432125	1430.780423	1441.719748	1453.09123	1461.863491	1470.583833	1519.578434	1568.599356	1617.534721	1665.473616	1712.365293	1758.166617	1802.841688	1846.36144	1888.703224	1929.850374	1969.791773	2008.521423	2046.03801	2082.344491	2117.447685	2151.357885	2184.088483	2215.655613	2246.077823	2275.375749	2303.571834	2330.690047	2356.755629	2381.794864	2405.834865	2428.903374	2451.028593	2472.239014	2492.563286	2512.030076	2530.667959	2548.505317	2565.570246	2581.890483	2597.493335	2612.405621	2626.653623	2640.263049	2653.258992	2665.665908	2677.507593	2688.807168	2699.587067	2709.869028	2719.674093	2729.02261	2737.934228	2746.427911	2754.521942	2762.233933	2769.580835	2776.578958	2783.243972	2789.590934	2795.634299	2801.387933	2806.865135	2812.07865	2817.040688	2821.762943	2826.256606	2830.532383	2834.600518
IT Onshore 394 38.0 13.125 70M Generator NWST	359.6498359	367.9831693	376.3165026	384.6498359	392.9831693	401.3165026	409.6498359	417.9831693	426.3165026	434.6498359	442.9831693	451.3165026	480.5179488	509.5819304	532.4599969	1083.817796	1190.327037	1295.599094	1331.63893	1359.498125	1389.617156	1405.085519	1418.432125	1430.780423	1441.719748	1453.09123	1461.863491	1470.583833	1519.578434	1568.599356	1617.534721	1665.473616	1712.365293	1758.166617	1802.841688	1846.36144	1888.703224	1929.850374	1969.791773	2008.521423	2046.03801	2082.344491	2117.447685	2151.357885	2184.088483	2215.655613	2246.077823	2275.375749	2303.571834	2330.690047	2356.755629	2381.794864	2405.834865	2428.903374	2451.028593	2472.239014	2492.563286	2512.030076	2530.667959	2548.505317	2565.570246	2581.890483	2597.493335	2612.405621	2626.653623	2640.263049	2653.258992	2665.665908	2677.507593	2688.807168	2699.587067	2709.869028	2719.674093	2729.02261	2737.934228	2746.427911	2754.521942	2762.233933	2769.580835	2776.578958	2783.243972	2789.590934	2795.634299	2801.387933	2806.865135	2812.07865	2817.040688	2821.762943	2826.256606	2830.532383	2834.600518
