Start Time	2010-01-01	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01
End Time	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	2101-01-01
Onshore_existing_subsidised_extrinsic	0	0	0	0	0	0	0	0	0	0	0	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	4695.639699	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Onshore_new2019_nonSubsidised_intrinsic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6424	7521.6	8619.2	8965.9	9312.7	9659.4	9781.6	9903.9	10026.2	10122	10217.8	10288.1	10358.5	10910.1	11461.8	12013.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Onshore_new2019_subsidised_extrinsic	0	0	0	0	0	0	0	0	0	0	0	720.1583318	1070.575688	1419.343466	1693.880265	1886.173851	2066.684741	2232.349436	2318.127457	2305.6378	2320.36617	2383.786527	2421.645799	2447.525385	2482.997281	2523.655058	2558.622191	2592.866289	2629.201515	2665.752574	2701.276953	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Total Onshore	4315.798031	4415.798031	4515.798031	4615.798031	4715.798031	4815.798031	4915.798031	5015.798031	5115.798031	5215.798031	5315.798031	5415.798031	5766.215386	6114.983165	6389.519963	13005.81355	14283.92444	15547.18913	15979.66716	16313.9775	16675.40587	16861.02623	17021.1855	17169.36508	17300.63698	17437.09476	17542.36189	17647.00599	18234.94121	18823.19227	19410.41665	19985.68339	20548.38351	21097.9994	21634.10025	22156.33728	22664.43869	23158.20449	23637.50128	24102.25707	24552.45612	24988.13389	25409.37222	25816.29462	26209.0618	26587.86736	26952.93387	27304.50899	27642.86201	27968.28056	28281.06755	28581.53837	28870.01838	29146.84049	29412.34311	29666.86817	29910.75943	30144.36091	30368.01551	30582.0638	30786.84295	30982.6858	31169.92002	31348.86745	31519.84348	31683.15659	31839.1079	31987.99089	32130.09112	32265.68602	32395.0448	32518.42833	32636.08912	32748.27132	32855.21074	32957.13493	33054.2633	33146.80719	33234.97002	33318.94749	33398.92766	33475.09121	33547.61159	33616.6552	33682.38162	33744.9438	33804.48826	33861.15532	33915.07927	33966.3886	34015.20621
IT Onshore 758 40.0 18.125 70M Generator NWST	269.7373769	275.9873769	282.2373769	288.4873769	294.7373769	300.9873769	307.2373769	313.4873769	319.7373769	325.9873769	332.2373769	338.4873769	360.3884616	382.1864478	399.3449977	812.8633469	892.7452775	971.6993206	998.7291975	1019.623594	1042.212867	1053.814139	1063.824094	1073.085318	1081.289811	1089.818423	1096.397618	1102.937874	1139.683826	1176.449517	1213.151041	1249.105212	1284.273969	1318.624963	1352.131266	1384.77108	1416.527418	1447.387781	1477.34383	1506.391067	1534.528508	1561.758368	1588.085764	1613.518414	1638.066363	1661.74171	1684.558367	1706.531812	1727.678876	1748.017535	1767.566722	1786.346148	1804.376149	1821.677531	1838.271444	1854.179261	1869.422464	1884.022557	1898.000969	1911.378988	1924.177684	1936.417863	1948.120001	1959.304216	1969.990218	1980.197287	1989.944244	1999.249431	2008.130695	2016.605376	2024.6903	2032.401771	2039.75557	2046.766958	2053.450671	2059.820933	2065.891456	2071.675449	2077.185626	2082.434218	2087.432979	2092.193201	2096.725724	2101.04095	2105.148851	2109.058988	2112.780516	2116.322208	2119.692454	2122.899288	2125.950388
IT Onshore 843 40.5 15.625 70M Generator NWST	269.7373769	275.9873769	282.2373769	288.4873769	294.7373769	300.9873769	307.2373769	313.4873769	319.7373769	325.9873769	332.2373769	338.4873769	360.3884616	382.1864478	399.3449977	812.8633469	892.7452775	971.6993206	998.7291975	1019.623594	1042.212867	1053.814139	1063.824094	1073.085318	1081.289811	1089.818423	1096.397618	1102.937874	1139.683826	1176.449517	1213.151041	1249.105212	1284.273969	1318.624963	1352.131266	1384.77108	1416.527418	1447.387781	1477.34383	1506.391067	1534.528508	1561.758368	1588.085764	1613.518414	1638.066363	1661.74171	1684.558367	1706.531812	1727.678876	1748.017535	1767.566722	1786.346148	1804.376149	1821.677531	1838.271444	1854.179261	1869.422464	1884.022557	1898.000969	1911.378988	1924.177684	1936.417863	1948.120001	1959.304216	1969.990218	1980.197287	1989.944244	1999.249431	2008.130695	2016.605376	2024.6903	2032.401771	2039.75557	2046.766958	2053.450671	2059.820933	2065.891456	2071.675449	2077.185626	2082.434218	2087.432979	2092.193201	2096.725724	2101.04095	2105.148851	2109.058988	2112.780516	2116.322208	2119.692454	2122.899288	2125.950388
IT Onshore 844 40.5 16.25 70M Generator NWST	269.7373769	275.9873769	282.2373769	288.4873769	294.7373769	300.9873769	307.2373769	313.4873769	319.7373769	325.9873769	332.2373769	338.4873769	360.3884616	382.1864478	399.3449977	812.8633469	892.7452775	971.6993206	998.7291975	1019.623594	1042.212867	1053.814139	1063.824094	1073.085318	1081.289811	1089.818423	1096.397618	1102.937874	1139.683826	1176.449517	1213.151041	1249.105212	1284.273969	1318.624963	1352.131266	1384.77108	1416.527418	1447.387781	1477.34383	1506.391067	1534.528508	1561.758368	1588.085764	1613.518414	1638.066363	1661.74171	1684.558367	1706.531812	1727.678876	1748.017535	1767.566722	1786.346148	1804.376149	1821.677531	1838.271444	1854.179261	1869.422464	1884.022557	1898.000969	1911.378988	1924.177684	1936.417863	1948.120001	1959.304216	1969.990218	1980.197287	1989.944244	1999.249431	2008.130695	2016.605376	2024.6903	2032.401771	2039.75557	2046.766958	2053.450671	2059.820933	2065.891456	2071.675449	2077.185626	2082.434218	2087.432979	2092.193201	2096.725724	2101.04095	2105.148851	2109.058988	2112.780516	2116.322208	2119.692454	2122.899288	2125.950388
IT Onshore 930 41.0 14.375 70M Generator NWST	269.7373769	275.9873769	282.2373769	288.4873769	294.7373769	300.9873769	307.2373769	313.4873769	319.7373769	325.9873769	332.2373769	338.4873769	360.3884616	382.1864478	399.3449977	812.8633469	892.7452775	971.6993206	998.7291975	1019.623594	1042.212867	1053.814139	1063.824094	1073.085318	1081.289811	1089.818423	1096.397618	1102.937874	1139.683826	1176.449517	1213.151041	1249.105212	1284.273969	1318.624963	1352.131266	1384.77108	1416.527418	1447.387781	1477.34383	1506.391067	1534.528508	1561.758368	1588.085764	1613.518414	1638.066363	1661.74171	1684.558367	1706.531812	1727.678876	1748.017535	1767.566722	1786.346148	1804.376149	1821.677531	1838.271444	1854.179261	1869.422464	1884.022557	1898.000969	1911.378988	1924.177684	1936.417863	1948.120001	1959.304216	1969.990218	1980.197287	1989.944244	1999.249431	2008.130695	2016.605376	2024.6903	2032.401771	2039.75557	2046.766958	2053.450671	2059.820933	2065.891456	2071.675449	2077.185626	2082.434218	2087.432979	2092.193201	2096.725724	2101.04095	2105.148851	2109.058988	2112.780516	2116.322208	2119.692454	2122.899288	2125.950388
IT Onshore 932 41.0 15.625 70M Generator NWST	269.7373769	275.9873769	282.2373769	288.4873769	294.7373769	300.9873769	307.2373769	313.4873769	319.7373769	325.9873769	332.2373769	338.4873769	360.3884616	382.1864478	399.3449977	812.8633469	892.7452775	971.6993206	998.7291975	1019.623594	1042.212867	1053.814139	1063.824094	1073.085318	1081.289811	1089.818423	1096.397618	1102.937874	1139.683826	1176.449517	1213.151041	1249.105212	1284.273969	1318.624963	1352.131266	1384.77108	1416.527418	1447.387781	1477.34383	1506.391067	1534.528508	1561.758368	1588.085764	1613.518414	1638.066363	1661.74171	1684.558367	1706.531812	1727.678876	1748.017535	1767.566722	1786.346148	1804.376149	1821.677531	1838.271444	1854.179261	1869.422464	1884.022557	1898.000969	1911.378988	1924.177684	1936.417863	1948.120001	1959.304216	1969.990218	1980.197287	1989.944244	1999.249431	2008.130695	2016.605376	2024.6903	2032.401771	2039.75557	2046.766958	2053.450671	2059.820933	2065.891456	2071.675449	2077.185626	2082.434218	2087.432979	2092.193201	2096.725724	2101.04095	2105.148851	2109.058988	2112.780516	2116.322208	2119.692454	2122.899288	2125.950388
