Start Time	2010-01-01	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01
End Time	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	2101-01-01
NL PVSAT 2785 51.5 5.625 Generator	277.2547057	308.0607841	342.2897601	380.3219557	422.5799507	469.5332786	521.7036429	579.6707143	644.0785714	715.6428572	795.1587302	883.5097002	1103.920154	1324.330608	1494.353935	1613.990135	1733.626336	1853.262537	1972.898737	2092.534938	2212.171138	2295.073824	2341.242994	2387.412164	2433.581335	2479.750505	2525.919675	2572.088845	2618.258016	2664.427186	2710.596356	24286	24386	24486	24586	24686	24786	24886	24986	25086	25186	25286	25386	25486	25586	25686	25786	25886	25986	26086	26186	26286	26386	26486	26586	26686	26786	26886	26986	27086	27186	27286	27386	27486	27586	27686	27786	27886	27986	28086	28186	28286	28386	28486	28586	28686	28786	28886	28986	29086	29186	29286	29386	29486	29586	29686	29786	29886	29986	30086	30186
Total Offshore	0	0	0	0	0	0	0	0	0	0	0	504	1364	2149	2999.5	4000	4984.5	5984.5	6984.5	7984.5	8984.5	9734.5	10234.5	10734.5	11234.5	11243.5	10968.5	10662.5	10431.5	10291.5	10151.5	14435	14635	14835	15035	15235	15435	15635	15835	16035	16235	16435	16635	16835	17035	17235	17435	17635	17835	18035	18235	18435	18635	18835	19035	19235	19435	19635	19835	20035	20235	20435	20635	20835	21035	21235	21435	21635	21835	22035	22235	22435	22635	22835	23035	23235	23435	23635	23835	24035	24235	24435	24635	24835	25035	25235	25435	25635	25835	26035	26235
NL Offshore HKN 2961 52.5 4.375 100M Generator NWST	0	0	0	0	0	0	0	0	0	0	0	126	341	537.25	749.875	1000	1246.125	1496.125	1746.125	1996.125	2246.125	2433.625	2558.625	2683.625	2808.625	2810.875	2742.125	2665.625	2607.875	2572.875	2537.875	3608.75	3658.75	3708.75	3758.75	3808.75	3858.75	3908.75	3958.75	4008.75	4058.75	4108.75	4158.75	4208.75	4258.75	4308.75	4358.75	4408.75	4458.75	4508.75	4558.75	4608.75	4658.75	4708.75	4758.75	4808.75	4858.75	4908.75	4958.75	5008.75	5058.75	5108.75	5158.75	5208.75	5258.75	5308.75	5358.75	5408.75	5458.75	5508.75	5558.75	5608.75	5658.75	5708.75	5758.75	5808.75	5858.75	5908.75	5958.75	6008.75	6058.75	6108.75	6158.75	6208.75	6258.75	6308.75	6358.75	6408.75	6458.75	6508.75	6558.75
NL Offshore HKW 2960 52.5 3.75 100M Generator NWST	0	0	0	0	0	0	0	0	0	0	0	126	341	537.25	749.875	1000	1246.125	1496.125	1746.125	1996.125	2246.125	2433.625	2558.625	2683.625	2808.625	2810.875	2742.125	2665.625	2607.875	2572.875	2537.875	3608.75	3658.75	3708.75	3758.75	3808.75	3858.75	3908.75	3958.75	4008.75	4058.75	4108.75	4158.75	4208.75	4258.75	4308.75	4358.75	4408.75	4458.75	4508.75	4558.75	4608.75	4658.75	4708.75	4758.75	4808.75	4858.75	4908.75	4958.75	5008.75	5058.75	5108.75	5158.75	5208.75	5258.75	5308.75	5358.75	5408.75	5458.75	5508.75	5558.75	5608.75	5658.75	5708.75	5758.75	5808.75	5858.75	5908.75	5958.75	6008.75	6058.75	6108.75	6158.75	6208.75	6258.75	6308.75	6358.75	6408.75	6458.75	6508.75	6558.75
NL Offshore HKZ 2871 52.0 3.75 100M Generator NWST	0	0	0	0	0	0	0	0	0	0	0	126	341	537.25	749.875	1000	1246.125	1496.125	1746.125	1996.125	2246.125	2433.625	2558.625	2683.625	2808.625	2810.875	2742.125	2665.625	2607.875	2572.875	2537.875	3608.75	3658.75	3708.75	3758.75	3808.75	3858.75	3908.75	3958.75	4008.75	4058.75	4108.75	4158.75	4208.75	4258.75	4308.75	4358.75	4408.75	4458.75	4508.75	4558.75	4608.75	4658.75	4708.75	4758.75	4808.75	4858.75	4908.75	4958.75	5008.75	5058.75	5108.75	5158.75	5208.75	5258.75	5308.75	5358.75	5408.75	5458.75	5508.75	5558.75	5608.75	5658.75	5708.75	5758.75	5808.75	5858.75	5908.75	5958.75	6008.75	6058.75	6108.75	6158.75	6208.75	6258.75	6308.75	6358.75	6408.75	6458.75	6508.75	6558.75
NL Offshore IJmuldenVer 3049 53.0 3.75 100M Generator NWST	0	0	0	0	0	0	0	0	0	0	0	126	341	537.25	749.875	1000	1246.125	1496.125	1746.125	1996.125	2246.125	2433.625	2558.625	2683.625	2808.625	2810.875	2742.125	2665.625	2607.875	2572.875	2537.875	3608.75	3658.75	3708.75	3758.75	3808.75	3858.75	3908.75	3958.75	4008.75	4058.75	4108.75	4158.75	4208.75	4258.75	4308.75	4358.75	4408.75	4458.75	4508.75	4558.75	4608.75	4658.75	4708.75	4758.75	4808.75	4858.75	4908.75	4958.75	5008.75	5058.75	5108.75	5158.75	5208.75	5258.75	5308.75	5358.75	5408.75	5458.75	5508.75	5558.75	5608.75	5658.75	5708.75	5758.75	5808.75	5858.75	5908.75	5958.75	6008.75	6058.75	6108.75	6158.75	6208.75	6258.75	6308.75	6358.75	6408.75	6458.75	6508.75	6558.75
DE Onshore North Total 100M Generator NWST	3263	3263	3263	3263	3263	3263	3263	3263	3263	3263	3263	3869.666667	4258.1675	4428.5025	4573.969286	4694.667857	4815.266429	4935.865	5056.463571	5177.062143	5297.660714	5418.259286	5538.857857	5659.456429	5780.055	5900.653571	6021.252143	6141.850714	6262.449286	6383.047857	6503.646429	6554	6604	6654	6704	6754	6804	6854	6904	6954	7004	7054	7104	7154	7204	7254	7304	7354	7404	7454	7504	7554	7604	7654	7704	7754	7804	7854	7904	7954	8004	8054	8104	8154	8204	8254	8304	8354	8404	8454	8504	8554	8604	8654	8704	8754	8804	8854	8904	8954	9004	9054	9104	9154	9204	9254	9304	9354	9404	9454	9504
NL Onshore Benschop 2873 52.0 5.0 100M Generator NWST	77.6904762	77.6904762	77.6904762	77.6904762	77.6904762	77.6904762	77.6904762	77.6904762	77.6904762	77.6904762	77.6904762	92.14285713	101.3809524	105.452381	108.9047619	111.7857143	114.6428571	117.5238095	120.3809524	123.2619048	126.1428571	129	131.8809524	134.7380952	137.6190476	140.5	143.3571429	146.2380952	149.0952381	151.9761905	154.8487245	156.047619	157.2380952	158.4285714	159.6190476	160.8095238	162	163.1904762	164.3809524	165.5714286	166.7619048	167.952381	169.1428571	170.3333333	171.5238095	172.7142857	173.9047619	175.0952381	176.2857143	177.4761905	178.6666667	179.8571429	181.047619	182.2380952	183.4285714	184.6190476	185.8095238	187	188.1904762	189.3809524	190.5714286	191.7619048	192.952381	194.1428571	195.3333333	196.5238095	197.7142857	198.9047619	200.0952381	201.2857143	202.4761905	203.6666667	204.8571429	206.047619	207.2380952	208.4285714	209.6190476	210.8095238	212	213.1904762	214.3809524	215.5714286	216.7619048	217.952381	219.1428571	220.3333333	221.5238095	222.7142857	223.9047619	225.0952381	226.2857143
NL Onshore Doetinchem 2875 52.0 6.25 100M Generator NWST	77.6904762	77.6904762	77.6904762	77.6904762	77.6904762	77.6904762	77.6904762	77.6904762	77.6904762	77.6904762	77.6904762	92.14285713	101.3809524	105.452381	108.9047619	111.7857143	114.6428571	117.5238095	120.3809524	123.2619048	126.1428571	129	131.8809524	134.7380952	137.6190476	140.5	143.3571429	146.2380952	149.0952381	151.9761905	154.8571429	156.047619	157.2380952	158.4285714	159.6190476	160.8095238	162	163.1904762	164.3809524	165.5714286	166.7619048	167.952381	169.1428571	170.3333333	171.5238095	172.7142857	173.9047619	175.0952381	176.2857143	177.4761905	178.6666667	179.8571429	181.047619	182.2380952	183.4285714	184.6190476	185.8095238	187	188.1904762	189.3809524	190.5714286	191.7619048	192.952381	194.1428571	195.3333333	196.5238095	197.7142857	198.9047619	200.0952381	201.2857143	202.4761905	203.6666667	204.8571429	206.047619	207.2380952	208.4285714	209.6190476	210.8095238	212	213.1904762	214.3809524	215.5714286	216.7619048	217.952381	219.1428571	220.3333333	221.5238095	222.7142857	223.9047619	225.0952381	226.2857143
