Start Time	2010-01-01	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01
End Time	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	2101-01-01
GB Onshore 2590 50.5 -5.0 70M Generator NWST	118.05	122.22	126.39	130.55	134.72	69.44	71.53	73.61	75.69	77.78	79.86	78.04	76.39	73.12	71.56	75.06	78.81	79.51	79.84	80.15	80.44	85.47	91.68	96.66	100.87	104.64	106.39	108.33	110.4	112.22	114.23	119.58	124.89	130.69	135.79	142.62	147.68	152.69	158.45	163.98	168.7	172.08	175.34	178.51	181.57	184.53	187.38	190.14	192.79	195.35	197.81	200.18	202.46	204.65	206.75	208.77	210.7	212.56	214.33	216.04	217.67	219.23	220.72	222.15	223.51	224.82	226.07	227.26	228.4	229.48	230.52	231.51	232.45	233.35	234.21	235.03	235.81	236.56	237.27	237.94	238.58	239.2	239.78	240.34	240.87	241.37	241.85	242.31	242.74	243.16	243.55
GB Onshore 2687 51.0 0.0 70M Generator NWST	118.05	122.22	126.39	130.55	134.72	69.44	71.53	73.61	75.69	77.78	79.86	78.04	76.39	73.12	71.56	75.06	78.81	79.51	79.84	80.15	80.44	85.47	91.68	96.66	100.87	104.64	106.39	108.33	110.4	112.22	114.23	119.58	124.89	130.69	135.79	142.62	147.68	152.69	158.45	163.98	168.7	172.08	175.34	178.51	181.57	184.53	187.38	190.14	192.79	195.35	197.81	200.18	202.46	204.65	206.75	208.77	210.7	212.56	214.33	216.04	217.67	219.23	220.72	222.15	223.51	224.82	226.07	227.26	228.4	229.48	230.52	231.51	232.45	233.35	234.21	235.03	235.81	236.56	237.27	237.94	238.58	239.2	239.78	240.34	240.87	241.37	241.85	242.31	242.74	243.16	243.55
GB Onshore 2688 51.0 0.625 70M Generator NWST	118.05	122.22	126.39	130.55	134.72	69.44	71.53	73.61	75.69	77.78	79.86	78.04	76.39	73.12	71.56	75.06	78.81	79.51	79.84	80.15	80.44	85.47	91.68	96.66	100.87	104.64	106.39	108.33	110.4	112.22	114.23	119.58	124.89	130.69	135.79	142.62	147.68	152.69	158.45	163.98	168.7	172.08	175.34	178.51	181.57	184.53	187.38	190.14	192.79	195.35	197.81	200.18	202.46	204.65	206.75	208.77	210.7	212.56	214.33	216.04	217.67	219.23	220.72	222.15	223.51	224.82	226.07	227.26	228.4	229.48	230.52	231.51	232.45	233.35	234.21	235.03	235.81	236.56	237.27	237.94	238.58	239.2	239.78	240.34	240.87	241.37	241.85	242.31	242.74	243.16	243.55
GB Onshore 2776 51.5 0.0 70M Generator NWST	118.05	122.22	126.39	130.55	134.72	69.44	71.53	73.61	75.69	77.78	79.86	78.04	76.39	73.12	71.56	75.06	78.81	79.51	79.84	80.15	80.44	85.47	91.68	96.66	100.87	104.64	106.39	108.33	110.4	112.22	114.23	119.58	124.89	130.69	135.79	142.62	147.68	152.69	158.45	163.98	168.7	172.08	175.34	178.51	181.57	184.53	187.38	190.14	192.79	195.35	197.81	200.18	202.46	204.65	206.75	208.77	210.7	212.56	214.33	216.04	217.67	219.23	220.72	222.15	223.51	224.82	226.07	227.26	228.4	229.48	230.52	231.51	232.45	233.35	234.21	235.03	235.81	236.56	237.27	237.94	238.58	239.2	239.78	240.34	240.87	241.37	241.85	242.31	242.74	243.16	243.55
GB Onshore 2863 52.0 -1.25 70M Generator NWST	118.05	122.22	126.39	130.55	134.72	69.44	71.53	73.61	75.69	77.78	79.86	78.04	76.39	73.12	71.56	75.06	78.81	79.51	79.84	80.15	80.44	85.47	91.68	96.66	100.87	104.64	106.39	108.33	110.4	112.22	114.23	119.58	124.89	130.69	135.79	142.62	147.68	152.69	158.45	163.98	168.7	172.08	175.34	178.51	181.57	184.53	187.38	190.14	192.79	195.35	197.81	200.18	202.46	204.65	206.75	208.77	210.7	212.56	214.33	216.04	217.67	219.23	220.72	222.15	223.51	224.82	226.07	227.26	228.4	229.48	230.52	231.51	232.45	233.35	234.21	235.03	235.81	236.56	237.27	237.94	238.58	239.2	239.78	240.34	240.87	241.37	241.85	242.31	242.74	243.16	243.55
GB Onshore 2956 52.5 1.25 70M Generator NWST	118.05	122.22	126.39	130.55	134.72	69.44	71.53	73.61	75.69	77.78	79.86	78.04	76.39	73.12	71.56	75.06	78.81	79.51	79.84	80.15	80.44	85.47	91.68	96.66	100.87	104.64	106.39	108.33	110.4	112.22	114.23	119.58	124.89	130.69	135.79	142.62	147.68	152.69	158.45	163.98	168.7	172.08	175.34	178.51	181.57	184.53	187.38	190.14	192.79	195.35	197.81	200.18	202.46	204.65	206.75	208.77	210.7	212.56	214.33	216.04	217.67	219.23	220.72	222.15	223.51	224.82	226.07	227.26	228.4	229.48	230.52	231.51	232.45	233.35	234.21	235.03	235.81	236.56	237.27	237.94	238.58	239.2	239.78	240.34	240.87	241.37	241.85	242.31	242.74	243.16	243.55
GB Onshore 3041 53.0 -1.25 70M Generator NWST	118.05	122.22	126.39	130.55	134.72	69.44	71.53	73.61	75.69	77.78	79.86	78.04	76.39	73.12	71.56	75.06	78.81	79.51	79.84	80.15	80.44	85.47	91.68	96.66	100.87	104.64	106.39	108.33	110.4	112.22	114.23	119.58	124.89	130.69	135.79	142.62	147.68	152.69	158.45	163.98	168.7	172.08	175.34	178.51	181.57	184.53	187.38	190.14	192.79	195.35	197.81	200.18	202.46	204.65	206.75	208.77	210.7	212.56	214.33	216.04	217.67	219.23	220.72	222.15	223.51	224.82	226.07	227.26	228.4	229.48	230.52	231.51	232.45	233.35	234.21	235.03	235.81	236.56	237.27	237.94	238.58	239.2	239.78	240.34	240.87	241.37	241.85	242.31	242.74	243.16	243.55
GB Onshore 3043 53.0 0.0 70M Generator NWST	118.05	122.22	126.39	130.55	134.72	69.44	71.53	73.61	75.69	77.78	79.86	78.04	76.39	73.12	71.56	75.06	78.81	79.51	79.84	80.15	80.44	85.47	91.68	96.66	100.87	104.64	106.39	108.33	110.4	112.22	114.23	119.58	124.89	130.69	135.79	142.62	147.68	152.69	158.45	163.98	168.7	172.08	175.34	178.51	181.57	184.53	187.38	190.14	192.79	195.35	197.81	200.18	202.46	204.65	206.75	208.77	210.7	212.56	214.33	216.04	217.67	219.23	220.72	222.15	223.51	224.82	226.07	227.26	228.4	229.48	230.52	231.51	232.45	233.35	234.21	235.03	235.81	236.56	237.27	237.94	238.58	239.2	239.78	240.34	240.87	241.37	241.85	242.31	242.74	243.16	243.55
GB Onshore 3131 53.5 -0.625 70M Generator NWST	118.05	122.22	126.39	130.55	134.72	69.44	71.53	73.61	75.69	77.78	79.86	78.04	76.39	73.12	71.56	75.06	78.81	79.51	79.84	80.15	80.44	85.47	91.68	96.66	100.87	104.64	106.39	108.33	110.4	112.22	114.23	119.58	124.89	130.69	135.79	142.62	147.68	152.69	158.45	163.98	168.7	172.08	175.34	178.51	181.57	184.53	187.38	190.14	192.79	195.35	197.81	200.18	202.46	204.65	206.75	208.77	210.7	212.56	214.33	216.04	217.67	219.23	220.72	222.15	223.51	224.82	226.07	227.26	228.4	229.48	230.52	231.51	232.45	233.35	234.21	235.03	235.81	236.56	237.27	237.94	238.58	239.2	239.78	240.34	240.87	241.37	241.85	242.31	242.74	243.16	243.55
