Start Time	2010-01-01	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01
End Time	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	2101-01-01
DE Base Demand	64357.20888	65007.28168	65663.9209	66327.19283	66997.16447	67673.9035	68357.4783	69047.95787	69745.41199	55223	54523	55223	73699.67	74574.93901	75940.24502	76730.63684	77964.19952	79164.64726	80645.41727	81649.55301	82928.50317	85286.90817	87573.58202	89412.27315	91434.74318	93380.23303	95929.95884	97859.97115	99854.83974	102276.7056	104520.0085	106470.8132	108709.8586	111001.5754	113759.6733	116371.3414	118224.21	120722.1626	123477.828	124735.2008	126715.1565	63967.83347	64316.22441	64661.25847	65002.94025	65341.27523	65676.26977	66007.9311	66336.26726	66661.28707	66983.00018	67301.41691	67616.54833	67928.40622	68237.00301	68542.35175	68844.46616	69143.3605	69439.04965	69731.54899	70020.87446	70307.04249	70590.07	70869.97435	71146.77337	71420.48529	71691.12875	71958.72276	72223.2867	72484.84028	72743.40356	72998.99689	73251.6409	73501.35652	73748.16492	73992.08751	74233.14594	74471.36205	74706.7579	74939.35571	75169.17788	75396.24696	75620.58564	75842.21673	76061.16318	76277.44802	76491.09438	76702.12548	76910.56458	77116.43505	77319.76025
DE Base Demand Old	64357.20888	65007.28168	65663.9209	66327.19283	66997.16447	67673.9035	68357.4783	69047.95787	69745.41199	70000	70254.58801	70526.60049	70743.42563	70953.24698	71019.88713	71085.37705	71344.09674	71453.95329	71556.34883	71636.18477	71703.36683	72187.55384	72661.24527	73125.78603	73581.9328	74030.13188	74562.54722	75086.53701	75602.24623	76109.79199	76609.27549	77009.27549	77497.12507	77980.70105	78459.99561	78935.00246	79405.71682	79872.13538	80334.25624	80792.07891	81245.60422	81694.83432	82139.77263	82580.4238	83016.79369	83448.8893	83876.71876	84300.29129	84719.61717	85134.70767	85545.57509	85952.23263	86354.69443	86752.97553	87147.09179	87537.0599	87922.89736	88304.6224	88682.25401	89055.81184	89425.31624	89790.78821	90152.24934	90509.72181	90863.2284	91212.79237	91558.43754	91900.18818	92238.06905	92572.10532	92902.3226	93228.74689	93551.40454	93870.32227	94185.52712	94497.04643	94804.90786	95109.1393	95409.76891	95706.82508	96000.33641	96290.33171	96576.83994	96859.89026	97139.51195	97415.73444	97688.58726	97958.10007	98224.30259	98487.22463	98746.89606
NF	1	1	1	1	1	1	1	1	1	1	0.271143586	1.003871811	1.003074374	1.002965948	1.000939212	1.000922135	1.003639563	1.001539813	1.001433028	1.001115707	1.000937823	1.00675264	1.006561954	1.00639324	1.006237837	1.006091157	1.007191873	1.00702752	1.006868198	1.006713369	1.006562671	1.006431417	1.006334946	1.006239922	1.006146323	1.006054128	1.005963316	1.005873866	1.005785758	1.005698972	1.005613487	1.005529285	1.005446346	1.005364651	1.005284181	1.005204918	1.005126844	1.005049942	1.004974192	1.00489958	1.004826086	1.004753695	1.004682389	1.004612153	1.004542971	1.004474826	1.004407704	1.004341589	1.004276465	1.004212318	1.004149133	1.004086896	1.004025593	1.003965209	1.003905731	1.003847145	1.003789437	1.003732596	1.003676607	1.003621458	1.003567136	1.003513629	1.003460924	1.003409011	1.003357875	1.003307507	1.003257895	1.003209026	1.003160891	1.003113478	1.003066775	1.003020774	1.002975462	1.00293083	1.002886868	1.002843565	1.002800911	1.002758898	1.002717514	1.002676751	1.0026366
MF	1	1	1	1	1	1	1	1	1	1	0.376171885	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.985	77497.12507	77980.70105	78459.99561	78935.00246	79405.71682	79872.13538	80334.25624	80792.07891	81245.60422	81694.83432	82139.77263	82580.4238	83016.79369	83448.8893	83876.71876	84300.29129	84719.61717	85134.70767	85545.57509	85952.23263	86354.69443	86752.97553	87147.09179	87537.0599	87922.89736	88304.6224	88682.25401	89055.81184	89425.31624	89790.78821	90152.24934	90509.72181	90863.2284	91212.79237	91558.43754	91900.18818	92238.06905	92572.10532	92902.3226	93228.74689	93551.40454	93870.32227	94185.52712	94497.04643	94804.90786	95109.1393	95409.76891	95706.82508	96000.33641	96290.33171	96576.83994	96859.89026	97139.51195	97415.73444	97688.58726	97958.10007	98224.30259	98487.22463	98746.89606
SF	1	1	1	1	1	1	1	1	1	1	0.35268453	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DE North Base Demand	21452.40296	21669.09389	21887.97363	22109.06428	22332.38816	22557.96783	22785.8261	23015.98596	23248.47066	23333.33333	15335.88122	15489.24004	15655.219	15748.59567	15866.35505	15892.04347	16014.75096	16035.60127	16103.15455	16066.76999	16077.18354	16191.25889	16338.19411	16402.67583	16501.20873	16600.16996	16770.61828	16832.90495	16946.43326	17056.87203	17219.20518	17383.08327	17548.52102	17715.53327	17884.135	18054.34135	18226.16757	18399.6291	18574.74149	18751.52045	18929.98185	19110.1417	19292.01616	19475.62154	19660.97434	19848.09116	20036.98881	20227.68423	20420.19453	20614.53698	20810.72902	21008.78826	21208.73246	21410.57956	21614.34768	21820.05509	22027.72025	22237.3618	22448.99854	22662.64946	22878.33374	23096.07072	23315.87994	23537.78112	23761.79418	23987.9392	24216.23648	24446.70651	24679.36996	24914.24771	25151.36083	25390.73059	25632.37848	25876.32617	26122.59555	26371.20872	26622.18799	26875.55586	27131.33508	27389.5486	27650.21958	27913.3714	28179.02769	28447.21227	28717.94922	28991.26281	29267.17757	29545.71826	29826.90987	30110.77763	30397.347
DE Middle Base Demand	21452.40296	21669.09389	21887.97363	22109.06428	22332.38816	22557.96783	22785.8261	23015.98596	23248.47066	23333.33333	21276.28182	21489.04463	21719.31606	21848.86247	22012.2363	22047.87522	22218.11383	22247.04057	22340.76081	22290.28258	22304.72986	22462.99265	22666.84367	22756.30258	22893.0025	23030.29667	23266.76867	23353.18226	23510.68612	23663.90369	23889.11707	24116.47385	24345.99442	24577.69937	24811.6095	25047.7458	25286.12944	25526.78182	25769.72453	26014.97937	26262.56834	26512.51365	26764.83774	27019.56324	27276.713	27536.3101	27798.37783	28062.93971	28330.01946	28599.64106	28871.82869	29146.60678	29423.99998	29704.03317	29986.73149	30272.1203	30560.2252	30851.07204	31144.68692	31441.09619	31740.32643	32042.4045	32347.35749	32655.21278	32965.99797	33279.74096	33596.4699	33916.2132	34238.99955	34564.85791	34893.81753	35225.9079	35561.15884	35899.60042	36241.263	36586.17724	36934.37409	37285.88479	37640.74088	37998.97419	38360.61687	38725.70136	39094.26043	39466.32713	39841.93486	40221.1173	40603.90849	40990.34277	41380.45482	41774.27962	42171.85252
DE South Base Demand	21452.40296	21669.09389	21887.97363	22109.06428	22332.38816	22557.96783	22785.8261	23015.98596	23248.47066	23333.33333	19947.83702	20147.31539	20363.20917	20484.66698	20637.8401	20671.2538	20830.86309	20857.98371	20945.85226	20898.52578	20912.071	21060.4522	21251.57521	21335.4485	21463.61317	21592.33499	21814.0422	21895.06031	22042.72997	22186.38097	22397.53252	22610.69363	22825.88343	23043.12124	23262.42653	23483.81898	23707.31847	23932.94504	24160.71893	24390.66059	24622.79064	24857.12992	25093.69944	25332.52043	25573.61432	25817.00274	26062.70753	26310.75074	26561.15461	26813.94162	27069.13445	27326.75599	27586.82936	27849.37789	28114.42514	28381.99489	28652.11115	28924.79815	29200.08036	29477.98247	29758.52943	30041.7464	30327.65879	30616.29226	30907.6727	31201.82626	31498.77933	31798.55855	32101.19083	32406.7033	32715.12339	33026.47877	33340.79736	33658.10738	33978.4373	34301.81584	34628.27204	34957.83518	35290.53482	35626.40082	35965.46332	36307.75273	36653.29976	37002.13543	37354.29103	37709.79815	38068.68869	38430.99485	38796.74915	39165.98438	39538.7337
DE GWh EEO	0	0	0	0	0	0	0	0	0	0	0	526340.62	531980.76	535153.8	539155.39	540028.31	544198.04	544906.55	547202.08	545965.7	546319.56	550195.96	555188.97	557380.13	560728.38	564091.19	569883.2	571999.77	575857.58	579610.4	585126.65	590695.4	596317.15	601992.4	607721.67	613505.46	619344.29	625238.7	631189.2	637196.33	643260.64	649382.66	655562.95	661802.05	668100.53	674458.96	680877.9	687357.93	693899.63	700503.59	707170.4	713900.66	720694.98	727553.95	734478.21	741468.36	748525.04	755648.88	762840.52	770100.6	777429.78	784828.71	792298.06	799838.49	807450.69	815135.34	822893.12	830724.73	838630.88	846612.27	854669.62	862803.66	871015.11	879304.71	887673.2	896121.33	904649.87	913259.58	921951.23	930725.59	939583.47	948525.64	957552.92	966666.11	975866.04	985153.52	994529.39	1003994.5	1013549.68	1023195.81	1032933.74
