Date	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
2015-01-01	42155.75	39969.5	38813	38490	38643.75	38773.25	37247.5	40371.5	42522	45020.5	47101	49603.25	49909.75	47528	47096.5	47383	48935.75	52288	53367.25	52598.75	50020.25	48096.25	47803.5	44876
2015-01-02	40078.25	38711.5	37819.75	37828.25	38924.75	40502.5	43400.25	49039.75	51540	53133	54445.5	55685.5	55626.75	53698	53314.75	53275	54490.75	57232.75	57268	55583.5	51783.5	47797.5	45972.5	44473.75
2015-01-03	42341.25	40962.5	39777.5	39824.5	40220.75	40012.25	40213.25	42881.5	46556	49657.75	51738.5	52963	52562.5	51453.75	50239.25	49500.25	50741.75	52569	52952.5	51891	49039.75	47277.25	46910.75	44334.75
2015-01-04	41144.5	38944.75	37773.25	37970.75	37962.75	37355.75	35587.75	36483.25	39514.75	43306.25	45522.5	47889.25	48273.25	46650.5	45203	44878.25	46081.25	49826	51442.75	50506	47804.5	46746.5	46885.5	44659.75
2015-01-05	43176	41597.75	40421.75	40404.25	41348.25	43645.25	49070.5	53972	56336.25	57556	58952.5	60158.75	60634	59365	57531.25	58482.75	58322	59898.25	60886.25	60314	56842	54007	52061	47866.75
2015-01-06	45215.5	43978	42823.5	42724.5	43610.75	45897.75	50678.5	55554.25	58355.25	59792.25	61041	62314.5	62185.75	61095	58461.5	59445.25	59201.75	60849.5	61763.25	61419.75	58256.5	55364	53445.75	49225.25
2015-01-07	45967.75	43796	42782.5	42937	44664.25	47122.25	52973.25	58620.75	60736.25	61359	62353.75	63591.5	63253.75	62404.75	61971.75	61780.5	62059	64334.25	64332.5	62484.5	58404.5	55377.5	53229.5	49272
2015-01-08	46999.5	44924	43816	43962.25	44861.25	47170.75	51903.75	58271.75	60746.5	61456.5	62295.5	63733.25	63357.75	61195.25	60290.5	60529.25	61036.25	63836.5	64304.5	62821	58974.75	55576.25	53694.25	49908
2015-01-09	46623.5	45326.75	44308.5	44619.5	46195.75	48375.75	53387.75	60045.5	62847.25	63250	63638.75	64733.25	63920	61498.75	60900	60830	61308.75	63877.25	64149.25	62803.25	59255	55100.25	52338.25	50094
2015-01-10	47723.25	46464	45167	45024.75	45633.25	45378.75	45735.75	48758.5	52160.75	55057.5	56622.5	58080	57204.5	55646	54834.25	53908.5	55688.25	58009.25	58348.25	56279.75	52930.75	50829.25	50419.5	48050
