Input	Generic Wind Power Curve	Generic Onshore Wind Power Curve	Generic Offshore Wind Power Curve	Siemes SWT 36 120	Siemes SWT 60 154	LWST Offshore Wind Power Curve	HWST Offshore Wind Power Curve	NWST Wind Power Curve	HWST Wind Power Curve	LWST Wind Power Curve	NWST Offshore Wind Power Curve	Nordsee One Power Curve	NWST Wind Power Curve PL
0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
0.6	0	0	0	0	0	0	0	0	0	0	0	0	0
0.7	0	0	0	0	0	0	0	0	0	0	0	0	0
0.8	0	0	0	0	0	0	0	0	0	0	0	0	0
0.9	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1	0	0	0	0	0	0	0	0	0	0	0	0	0
1.2	0	0	0	0	0	0.052380952	0	0	0	0.052380952	0	0	0
1.3	0	0	0	0	0	0.104761905	0	0	0	0.104761905	0	0	0
1.4	0	0	0	0	0	0.157142857	0	0	0	0.157142857	0	0	0
1.5	0	0	0	0	0	0.20952381	0	0	0	0.20952381	0	0	0
1.6	0	0	0	0	0	0.261904762	0	0	0	0.261904762	0	0	0
1.7	0	0	0	0	0	0.314285714	0	0	0	0.314285714	0	0	0
1.8	0	0	0	0	0	0.366666667	0	0	0	0.366666667	0	0	0
1.9	0	0	0	0	0	0.419047619	0	0	0	0.419047619	0	0	0
2	0	0	0	0	0.122024405	0.471428571	0	0.052380952	0	0.471428571	0	0	0
2.1	0.052380952	0	0	0	0.24404881	0.523809524	0	0.052380952	0	0.523809524	0.052380952	0	0
2.2	0.104761905	0	0.052380952	0	0.366073215	0.719047619	0	0.104761905	0	0.719047619	0.104761905	0	0
2.3	0.157142857	0	0.104761905	0	0.48809762	0.914285714	0	0.157142857	0	0.914285714	0.157142857	0	0
2.4	0.20952381	0	0.157142857	0	0.610122025	1.10952381	0	0.20952381	0	1.10952381	0.20952381	0	0
2.5	0.261904762	0	0.20952381	0	0.732146429	1.304761905	0	0.052380952	0	1.304761905	0.261904762	0	0
2.6	0.314285714	0.052380952	0.261904762	0	0.854170834	1.5	0	0.104761905	0	1.5	0.314285714	0	0.052380952
