Object_Name	Object_Type
PT Base Demand File	DataSource
PT Base Demand	Variable
PT Daily Demand Growth File	DataSource
PT Daily Demand Growth	Variable
PT Daily Demand Stochastic File	DataSource
PT Daily Demand Stochastic	Variable
PT Demand DIY File	DataSource
PT Demand DIY	Variable
PT Demand DOW File	DataSource
PT Demand DOW	Variable
PT Demand HOD File	DataSource
PT Demand HOD	Variable
PT Demand Historic Day Ahead File	DataSource
PT Demand Historic Day Ahead	Variable
PT Demand	Demand
PT DSR Bid Volume 2017	Variable
PT DSR Bid Price 2017	Variable
PT DSR Bid Volume 2018	Variable
PT DSR Bid Price 2018	Variable
PT DSR Bid Volume 2019	Variable
PT DSR Bid Price 2019	Variable
PT DSR Bid Volume 2020	Variable
PT DSR Bid Price 2020	Variable
PT DSR Bid Volume 2021	Variable
PT DSR Bid Price 2021	Variable
PT DSR Bid Volume 2022	Variable
PT DSR Bid Price 2022	Variable
PT DSR Bid Volume 2023	Variable
PT DSR Bid Price 2023	Variable
PT DSR Bid Volume 2024	Variable
PT DSR Bid Price 2024	Variable
PT DSR Bid Volume 2025	Variable
PT DSR Bid Price 2025	Variable
PT DSR Bid Volume 2026	Variable
PT DSR Bid Price 2026	Variable
PT DSR Bid Volume 2027	Variable
PT DSR Bid Price 2027	Variable
PT DSR Bid Volume 2028	Variable
PT DSR Bid Price 2028	Variable
PT DSR Bid Volume 2029	Variable
PT DSR Bid Price 2029	Variable
PT DSR Bid Volume 2030	Variable
PT DSR Bid Price 2030	Variable
PT DSR Bid Volume 2031	Variable
PT DSR Bid Price 2031	Variable
PT DSR Bid Volume 2032	Variable
PT DSR Bid Price 2032	Variable
PT DSR Bid Volume 2033	Variable
PT DSR Bid Price 2033	Variable
PT DSR Bid Volume 2034	Variable
PT DSR Bid Price 2034	Variable
PT DSR Bid Volume 2035	Variable
PT DSR Bid Price 2035	Variable
PT DSR Bid Volume 2036	Variable
PT DSR Bid Price 2036	Variable
PT DSR Bid Volume 2037	Variable
PT DSR Bid Price 2037	Variable
PT DSR Bid Volume 2038	Variable
PT DSR Bid Price 2038	Variable
PT DSR Bid Volume 2039	Variable
PT DSR Bid Price 2039	Variable
PT DSR Bid Volume 2040	Variable
PT DSR Bid Price 2040	Variable
PT DSR Bid Volume 2041	Variable
PT DSR Bid Price 2041	Variable
PT DSR Bid Volume 2042	Variable
PT DSR Bid Price 2042	Variable
PT DSR Bid Volume 2043	Variable
PT DSR Bid Price 2043	Variable
PT DSR Bid Volume 2044	Variable
PT DSR Bid Price 2044	Variable
PT DSR Bid Volume 2045	Variable
PT DSR Bid Price 2045	Variable
PT DSR Bid Volume 2046	Variable
PT DSR Bid Price 2046	Variable
PT DSR Bid Volume 2047	Variable
PT DSR Bid Price 2047	Variable
PT DSR Bid Volume 2048	Variable
PT DSR Bid Price 2048	Variable
PT DSR Bid Volume 2049	Variable
PT DSR Bid Price 2049	Variable
PT DSR Bid Volume 2050	Variable
PT DSR Bid Price 2050	Variable
PT DSR Bid Volume 2051	Variable
PT DSR Bid Price 2051	Variable
PT DSR Bid Volume 2052	Variable
PT DSR Bid Price 2052	Variable
PT DSR Bid Volume 2053	Variable
PT DSR Bid Price 2053	Variable
PT DSR Bid Volume 2054	Variable
PT DSR Bid Price 2054	Variable
PT DSR Bid Volume 2055	Variable
PT DSR Bid Price 2055	Variable
PT DSR Bid Volume 2056	Variable
PT DSR Bid Price 2056	Variable
PT DSR Bid Volume 2057	Variable
PT DSR Bid Price 2057	Variable
PT DSR Bid Volume 2058	Variable
PT DSR Bid Price 2058	Variable
PT DSR Bid Volume 2059	Variable
PT DSR Bid Price 2059	Variable
PT DSR Bid Volume 2060	Variable
PT DSR Bid Price 2060	Variable
PT DSR Bid Volume 2061	Variable
PT DSR Bid Price 2061	Variable
PT DSR Bid Volume 2062	Variable
PT DSR Bid Price 2062	Variable
PT DSR Bid Volume 2063	Variable
PT DSR Bid Price 2063	Variable
PT DSR Bid Volume 2064	Variable
PT DSR Bid Price 2064	Variable
PT DSR Bid Volume 2065	Variable
PT DSR Bid Price 2065	Variable
PT DSR Bid Volume 2066	Variable
PT DSR Bid Price 2066	Variable
PT DSR Bid Volume 2067	Variable
PT DSR Bid Price 2067	Variable
PT DSR Bid Volume 2068	Variable
PT DSR Bid Price 2068	Variable
PT DSR Bid Volume 2069	Variable
PT DSR Bid Price 2069	Variable
PT DSR Bid Volume 2070	Variable
PT DSR Bid Price 2070	Variable
PT DSR Bid Volume 2071	Variable
PT DSR Bid Price 2071	Variable
PT DSR Bid Volume 2072	Variable
PT DSR Bid Price 2072	Variable
PT DSR Bid Volume 2073	Variable
PT DSR Bid Price 2073	Variable
PT DSR Bid Volume 2074	Variable
PT DSR Bid Price 2074	Variable
