Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario
PT Base Demand			Value	2010-01-01	2100-01-01	Base Demand File							
PT Daily Demand Stochastic			Value	2010-01-01	2100-01-01	PT Daily Demand Stochastic File	PT Base Demand	Multiply					
PT Demand			Bid Volume	2010-01-01	2100-01-01	PT Demand HOD	PT DSR Adjustment	Add			1	1	
PT Demand			Bid Price	2010-01-01	2100-01-01	100000					1	1	
PT Demand			Bid Volume	2017-01-01	2100-01-01	PT DSR Bid Volume 2017					2	2	
PT Demand			Bid Price	2017-01-01	2100-01-01	PT DSR Bid Price 2017					2	2	
PT Demand			Bid Volume	2018-01-01	2100-01-01	PT DSR Bid Volume 2018					3	3	
PT Demand			Bid Price	2018-01-01	2100-01-01	PT DSR Bid Price 2018					3	3	
PT Demand			Bid Volume	2019-01-01	2100-01-01	PT DSR Bid Volume 2019					4	4	
PT Demand			Bid Price	2019-01-01	2100-01-01	PT DSR Bid Price 2019					4	4	
PT Demand			Bid Volume	2020-01-01	2100-01-01	PT DSR Bid Volume 2020					5	5	
PT Demand			Bid Price	2020-01-01	2100-01-01	PT DSR Bid Price 2020					5	5	
PT Demand			Bid Volume	2021-01-01	2100-01-01	PT DSR Bid Volume 2021					6	6	
PT Demand			Bid Price	2021-01-01	2100-01-01	PT DSR Bid Price 2021					6	6	
PT Demand			Bid Volume	2022-01-01	2100-01-01	PT DSR Bid Volume 2022					7	7	
PT Demand			Bid Price	2022-01-01	2100-01-01	PT DSR Bid Price 2022					7	7	
PT Demand			Bid Volume	2023-01-01	2100-01-01	PT DSR Bid Volume 2023					8	8	
PT Demand			Bid Price	2023-01-01	2100-01-01	PT DSR Bid Price 2023					8	8	
PT Demand			Bid Volume	2024-01-01	2100-01-01	PT DSR Bid Volume 2024					9	9	
PT Demand			Bid Price	2024-01-01	2100-01-01	PT DSR Bid Price 2024					9	9	
PT Demand			Bid Volume	2025-01-01	2100-01-01	PT DSR Bid Volume 2025					10	10	
PT Demand			Bid Price	2025-01-01	2100-01-01	PT DSR Bid Price 2025					10	10	
PT Demand			Bid Volume	2026-01-01	2100-01-01	PT DSR Bid Volume 2026					11	11	
PT Demand			Bid Price	2026-01-01	2100-01-01	PT DSR Bid Price 2026					11	11	
PT Demand			Bid Volume	2027-01-01	2100-01-01	PT DSR Bid Volume 2027					12	12	
PT Demand			Bid Price	2027-01-01	2100-01-01	PT DSR Bid Price 2027					12	12	
PT Demand			Bid Volume	2028-01-01	2100-01-01	PT DSR Bid Volume 2028					13	13	
PT Demand			Bid Price	2028-01-01	2100-01-01	PT DSR Bid Price 2028					13	13	
PT Demand			Bid Volume	2029-01-01	2100-01-01	PT DSR Bid Volume 2029					14	14	
PT Demand			Bid Price	2029-01-01	2100-01-01	PT DSR Bid Price 2029					14	14	
PT Demand			Bid Volume	2030-01-01	2100-01-01	PT DSR Bid Volume 2030					15	15	
PT Demand			Bid Price	2030-01-01	2100-01-01	PT DSR Bid Price 2030					15	15	
PT Demand			Bid Volume	2031-01-01	2100-01-01	PT DSR Bid Volume 2031					16	16	
PT Demand			Bid Price	2031-01-01	2100-01-01	PT DSR Bid Price 2031					16	16	
PT Demand			Bid Volume	2032-01-01	2100-01-01	PT DSR Bid Volume 2032					17	17	
PT Demand			Bid Price	2032-01-01	2100-01-01	PT DSR Bid Price 2032					17	17	
PT Demand			Bid Volume	2033-01-01	2100-01-01	PT DSR Bid Volume 2033					18	18	
PT Demand			Bid Price	2033-01-01	2100-01-01	PT DSR Bid Price 2033					18	18	
PT Demand			Bid Volume	2034-01-01	2100-01-01	PT DSR Bid Volume 2034					19	19	
PT Demand			Bid Price	2034-01-01	2100-01-01	PT DSR Bid Price 2034					19	19	
PT Demand			Bid Volume	2035-01-01	2100-01-01	PT DSR Bid Volume 2035					20	20	
PT Demand			Bid Price	2035-01-01	2100-01-01	PT DSR Bid Price 2035					20	20	
PT Demand			Bid Volume	2036-01-01	2100-01-01	PT DSR Bid Volume 2036					21	21	
PT Demand			Bid Price	2036-01-01	2100-01-01	PT DSR Bid Price 2036					21	21	
PT Demand			Bid Volume	2037-01-01	2100-01-01	PT DSR Bid Volume 2037					22	22	
PT Demand			Bid Price	2037-01-01	2100-01-01	PT DSR Bid Price 2037					22	22	
PT Demand			Bid Volume	2038-01-01	2100-01-01	PT DSR Bid Volume 2038					23	23	
PT Demand			Bid Price	2038-01-01	2100-01-01	PT DSR Bid Price 2038					23	23	
PT Demand			Bid Volume	2039-01-01	2100-01-01	PT DSR Bid Volume 2039					24	24	
PT Demand			Bid Price	2039-01-01	2100-01-01	PT DSR Bid Price 2039					24	24	
PT Demand			Bid Volume	2040-01-01	2100-01-01	PT DSR Bid Volume 2040					25	25	
PT Demand			Bid Price	2040-01-01	2100-01-01	PT DSR Bid Price 2040					25	25	
PT Demand			Bid Volume	2041-01-01	2100-01-01	PT DSR Bid Volume 2041					26	26	
PT Demand			Bid Price	2041-01-01	2100-01-01	PT DSR Bid Price 2041					26	26	
PT Demand			Bid Volume	2042-01-01	2100-01-01	PT DSR Bid Volume 2042					27	27	
PT Demand			Bid Price	2042-01-01	2100-01-01	PT DSR Bid Price 2042					27	27	
PT Demand			Bid Volume	2043-01-01	2100-01-01	PT DSR Bid Volume 2043					28	28	
PT Demand			Bid Price	2043-01-01	2100-01-01	PT DSR Bid Price 2043					28	28	
PT Demand			Bid Volume	2044-01-01	2100-01-01	PT DSR Bid Volume 2044					29	29	
PT Demand			Bid Price	2044-01-01	2100-01-01	PT DSR Bid Price 2044					29	29	
PT Demand			Bid Volume	2045-01-01	2100-01-01	PT DSR Bid Volume 2045					30	30	
PT Demand			Bid Price	2045-01-01	2100-01-01	PT DSR Bid Price 2045					30	30	
PT Demand			Bid Volume	2046-01-01	2100-01-01	PT DSR Bid Volume 2046					31	31	
PT Demand			Bid Price	2046-01-01	2100-01-01	PT DSR Bid Price 2046					31	31	
PT Demand			Bid Volume	2047-01-01	2100-01-01	PT DSR Bid Volume 2047					32	32	
PT Demand			Bid Price	2047-01-01	2100-01-01	PT DSR Bid Price 2047					32	32	
PT Demand			Bid Volume	2048-01-01	2100-01-01	PT DSR Bid Volume 2048					33	33	
PT Demand			Bid Price	2048-01-01	2100-01-01	PT DSR Bid Price 2048					33	33	
PT Demand			Bid Volume	2049-01-01	2100-01-01	PT DSR Bid Volume 2049					34	34	
PT Demand			Bid Price	2049-01-01	2100-01-01	PT DSR Bid Price 2049					34	34	
PT Demand			Bid Volume	2050-01-01	2100-01-01	PT DSR Bid Volume 2050					35	35	
PT Demand			Bid Price	2050-01-01	2100-01-01	PT DSR Bid Price 2050					35	35	
PT Demand			Bid Volume	2051-01-01	2100-01-01	PT DSR Bid Volume 2051					36	36	
PT Demand			Bid Price	2051-01-01	2100-01-01	PT DSR Bid Price 2051					36	36	
