Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario
PT Biomass 1990			Bid Up Heat Rate	1990-01-01	2040-01-01	0							
PT Biomass 1995			Bid Up Heat Rate	1995-01-01	2045-01-01	0							
PT Biomass 2000			Bid Up Heat Rate	2000-01-01	2050-01-01	0							
PT Biomass 2005			Bid Up Heat Rate	2005-01-01	2055-01-01	0							
PT Biomass 2010			Bid Up Heat Rate	2010-01-01	2060-01-01	0							
PT Biomass 2015			Bid Up Heat Rate	2015-01-01	2065-01-01	0							
PT Biomass 2020			Bid Up Heat Rate	2020-01-01	2070-01-01	0							
PT Biomass 2025			Bid Up Heat Rate	2025-01-01	2075-01-01	0							
PT Biomass 2030			Bid Up Heat Rate	2030-01-01	2080-01-01	0							
PT Biomass 2035			Bid Up Heat Rate	2035-01-01	2085-01-01	0							
PT Biomass 2040			Bid Up Heat Rate	2040-01-01	2090-01-01	0							
PT Biomass 2045			Bid Up Heat Rate	2045-01-01	2095-01-01	0							
PT Biomass 2050			Bid Up Heat Rate	2050-01-01	2100-01-01	0							
PT Biomass 2055			Bid Up Heat Rate	2055-01-01	2105-01-01	0							
PT Biomass 2060			Bid Up Heat Rate	2060-01-01	2110-01-01	0							
PT Biomass 2065			Bid Up Heat Rate	2065-01-01	2115-01-01	0							
PT CCGT 1990			Bid Up Heat Rate	1990-01-01	2040-01-01	3.896226415							
PT CCGT 1995			Bid Up Heat Rate	1995-01-01	2045-01-01	3.5							
PT CCGT 2000			Bid Up Heat Rate	2000-01-01	2050-01-01	3							
PT CCGT 2005			Bid Up Heat Rate	2005-01-01	2055-01-01	2.5							
PT CCGT 2010			Bid Up Heat Rate	2010-01-01	2060-01-01	2							
PT CCGT 2015			Bid Up Heat Rate	2015-01-01	2065-01-01	1.5							
PT CCGT 2020			Bid Up Heat Rate	2020-01-01	2070-01-01	1							
PT CCGT 2025			Bid Up Heat Rate	2025-01-01	2075-01-01	0.9							
PT CCGT 2030			Bid Up Heat Rate	2030-01-01	2080-01-01	0.8							
PT CCGT 2031			Bid Up Heat Rate	2031-01-01	2081-01-01	0.7							
PT CCGT 2032			Bid Up Heat Rate	2032-01-01	2082-01-01	0.6							
PT CCGT 2033			Bid Up Heat Rate	2033-01-01	2083-01-01	0.5							
PT CCGT 2034			Bid Up Heat Rate	2034-01-01	2084-01-01	0.4							
PT CCGT 2035			Bid Up Heat Rate	2035-01-01	2085-01-01	0.3							
PT CCGT 2036			Bid Up Heat Rate	2036-01-01	2086-01-01	0.2							
PT CCGT 2037			Bid Up Heat Rate	2037-01-01	2087-01-01	0.1							
PT CCGT 2038			Bid Up Heat Rate	2038-01-01	2088-01-01	0							
PT CCGT 2039			Bid Up Heat Rate	2039-01-01	2089-01-01	0							
PT CCGT 2040			Bid Up Heat Rate	2040-01-01	2090-01-01	0							
PT CCGT 2045			Bid Up Heat Rate	2045-01-01	2095-01-01	0							
PT CCGT 2050			Bid Up Heat Rate	2050-01-01	2100-01-01	0							
PT CCGT 2055			Bid Up Heat Rate	2055-01-01	2105-01-01	0							
PT CCGT 2060			Bid Up Heat Rate	2060-01-01	2110-01-01	0							
PT CCGT 2065			Bid Up Heat Rate	2065-01-01	2115-01-01	0							
PT CHP 1990			Bid Up Heat Rate	1990-01-01	2040-01-01	0							
PT CHP 1995			Bid Up Heat Rate	1995-01-01	2045-01-01	0							
PT CHP 2000			Bid Up Heat Rate	2000-01-01	2050-01-01	0							
PT CHP 2005			Bid Up Heat Rate	2005-01-01	2055-01-01	0							
PT CHP 2010			Bid Up Heat Rate	2010-01-01	2060-01-01	0							
PT CHP 2015			Bid Up Heat Rate	2015-01-01	2065-01-01	0							
PT CHP 2020			Bid Up Heat Rate	2020-01-01	2070-01-01	0							
PT CHP 2025			Bid Up Heat Rate	2025-01-01	2075-01-01	0							
PT CHP 2030			Bid Up Heat Rate	2030-01-01	2080-01-01	0							
PT CHP 2035			Bid Up Heat Rate	2035-01-01	2085-01-01	0							
PT CHP 2040			Bid Up Heat Rate	2040-01-01	2090-01-01	0							
PT CHP 2045			Bid Up Heat Rate	2045-01-01	2095-01-01	0							
PT CHP 2050			Bid Up Heat Rate	2050-01-01	2100-01-01	0							
PT CHP 2055			Bid Up Heat Rate	2055-01-01	2105-01-01	0							
PT CHP 2060			Bid Up Heat Rate	2060-01-01	2110-01-01	0							
PT CHP 2065			Bid Up Heat Rate	2065-01-01	2115-01-01	0							
PT Coal 1990			Bid Up Heat Rate	1990-01-01	2040-01-01	0							
PT Coal 1995			Bid Up Heat Rate	1995-01-01	2045-01-01	0							
PT Coal 2000			Bid Up Heat Rate	2000-01-01	2050-01-01	0							
PT Coal 2005			Bid Up Heat Rate	2005-01-01	2055-01-01	0							
PT Coal 2010			Bid Up Heat Rate	2010-01-01	2060-01-01	0							
PT Coal 2015			Bid Up Heat Rate	2015-01-01	2065-01-01	0							
PT Coal 2020			Bid Up Heat Rate	2020-01-01	2070-01-01	0							
PT Coal 2025			Bid Up Heat Rate	2025-01-01	2075-01-01	0							
PT Coal 2030			Bid Up Heat Rate	2030-01-01	2080-01-01	0							
PT Coal 2035			Bid Up Heat Rate	2035-01-01	2085-01-01	0							
PT Coal 2040			Bid Up Heat Rate	2040-01-01	2090-01-01	0							
PT Coal 2045			Bid Up Heat Rate	2045-01-01	2095-01-01	0							
PT Coal 2050			Bid Up Heat Rate	2050-01-01	2100-01-01	0							
PT Coal 2055			Bid Up Heat Rate	2055-01-01	2105-01-01	0							
PT Coal 2060			Bid Up Heat Rate	2060-01-01	2110-01-01	0							
PT Coal 2065			Bid Up Heat Rate	2065-01-01	2115-01-01	0							
PT Lares I Power Station 			Bid Up Heat Rate	2009-01-01	2100-01-01	1							
PT Lares II Power Station 			Bid Up Heat Rate	2009-01-01	2100-01-01	5							
PT Lignite 1990			Bid Up Heat Rate	1990-01-01	2040-01-01	0							
PT Lignite 1995			Bid Up Heat Rate	1995-01-01	2045-01-01	0							
PT Lignite 2000			Bid Up Heat Rate	2000-01-01	2031-01-01	0							
PT Lignite 2005			Bid Up Heat Rate	2005-01-01	2038-01-01	0							
PT Lignite 2010			Bid Up Heat Rate	2010-01-01	2038-01-01	0							
PT Lignite 2015			Bid Up Heat Rate	2015-01-01	2038-01-01	0							
PT Lignite 2020			Bid Up Heat Rate	2020-01-01	2039-01-01	0							
PT Lignite 2025			Bid Up Heat Rate	2025-01-01	2039-01-01	0							
PT Lignite 2030			Bid Up Heat Rate	2030-01-01	2040-01-01	0							
PT Lignite 2035			Bid Up Heat Rate	2035-01-01	2040-01-01	0							
PT Lignite 2040			Bid Up Heat Rate	2040-01-01	2040-01-01	0							
PT Lignite 2045			Bid Up Heat Rate	2045-01-01	2040-01-01	0							
PT Lignite 2050			Bid Up Heat Rate	2050-01-01	2100-01-01	0							
PT Lignite 2055			Bid Up Heat Rate	2055-01-01	2105-01-01	0							
PT Lignite 2060			Bid Up Heat Rate	2060-01-01	2110-01-01	0							
PT Lignite 2065			Bid Up Heat Rate	2065-01-01	2115-01-01	0							
PT Liquid 1990			Bid Up Heat Rate	1990-01-01	2040-01-01	10.22727273							
PT Liquid 1995			Bid Up Heat Rate	1995-01-01	2045-01-01	10.16949153							
PT Liquid 2000			Bid Up Heat Rate	2000-01-01	2050-01-01	10.11235955							
PT Liquid 2005			Bid Up Heat Rate	2005-01-01	2055-01-01	10.05586592							
PT Liquid 2010			Bid Up Heat Rate	2010-01-01	2060-01-01	3							
