Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario
PT Availability Coal			Value	2010-01-01	2100-01-01	0.85			M	1			
PT Availability Coal			Value	2010-01-01	2100-01-01	0.85			M	2			
PT Availability Coal			Value	2010-01-01	2100-01-01	0.85			M	3			
PT Availability Coal			Value	2010-01-01	2100-01-01	0.85			M	4			
PT Availability Coal			Value	2010-01-01	2100-01-01	0.85			M	5			
PT Availability Coal			Value	2010-01-01	2100-01-01	0.85			M	6			
PT Availability Coal			Value	2010-01-01	2100-01-01	0.85			M	7			
PT Availability Coal			Value	2010-01-01	2100-01-01	0.85			M	8			
PT Availability Coal			Value	2010-01-01	2100-01-01	0.85			M	9			
PT Availability Coal			Value	2010-01-01	2100-01-01	0.85			M	10			
PT Availability Coal			Value	2010-01-01	2100-01-01	0.85			M	11			
PT Availability Coal			Value	2010-01-01	2100-01-01	0.85			M	12			
PT Availability CCGT			Value	2010-01-01	2100-01-01	0.9			M	1			
PT Availability CCGT			Value	2010-01-01	2100-01-01	0.9			M	2			
PT Availability CCGT			Value	2010-01-01	2100-01-01	0.9			M	3			
PT Availability CCGT			Value	2010-01-01	2100-01-01	0.9			M	4			
PT Availability CCGT			Value	2010-01-01	2100-01-01	0.9			M	5			
PT Availability CCGT			Value	2010-01-01	2100-01-01	0.9			M	6			
PT Availability CCGT			Value	2010-01-01	2100-01-01	0.9			M	7			
PT Availability CCGT			Value	2010-01-01	2100-01-01	0.9			M	8			
PT Availability CCGT			Value	2010-01-01	2100-01-01	0.9			M	9			
PT Availability CCGT			Value	2010-01-01	2100-01-01	0.9			M	10			
PT Availability CCGT			Value	2010-01-01	2100-01-01	0.9			M	11			
PT Availability CCGT			Value	2010-01-01	2100-01-01	0.9			M	12			
PT Availability OCGT			Value	2010-01-01	2100-01-01	0.95			M	1			
PT Availability OCGT			Value	2010-01-01	2100-01-01	0.95			M	2			
PT Availability OCGT			Value	2010-01-01	2100-01-01	0.95			M	3			
PT Availability OCGT			Value	2010-01-01	2100-01-01	0.95			M	4			
PT Availability OCGT			Value	2010-01-01	2100-01-01	0.95			M	5			
PT Availability OCGT			Value	2010-01-01	2100-01-01	0.95			M	6			
PT Availability OCGT			Value	2010-01-01	2100-01-01	0.95			M	7			
PT Availability OCGT			Value	2010-01-01	2100-01-01	0.95			M	8			
PT Availability OCGT			Value	2010-01-01	2100-01-01	0.95			M	9			
PT Availability OCGT			Value	2010-01-01	2100-01-01	0.95			M	10			
PT Availability OCGT			Value	2010-01-01	2100-01-01	0.95			M	11			
PT Availability OCGT			Value	2010-01-01	2100-01-01	0.95			M	12			
PT Availability Biomass			Value	2010-01-01	2100-01-01	0.85			M	1			
PT Availability Biomass			Value	2010-01-01	2100-01-01	0.85			M	2			
