Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario
PT PT_PP_Aguieira			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_Alqueva I			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_Alqueva II			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_Alto Lindoso			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_Alto Rabagao			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_Baixo Sabor			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_Bouca			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_Cabril			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_Caldeirao			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_Canicada			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_Castelo de Bode			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_Frades			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_Pracana			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_Raiva			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_Sabugeiro I			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_Salamonde			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_Salamonde II			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_Santa Luzia			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_Tabuaco			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_Torrao			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_Touvedo			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_Varosa			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_Venda Nova II			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_Vilarinho Fumas			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_VNovaParadela			conversion_rate	2010-01-01	2100-01-01	1							
PT PT_PP_Aguieira			gross_capacity	2010-01-01	2100-01-01	336	0.5	Multiply					
PT PT_PP_Alqueva I			gross_capacity	2010-01-01	2100-01-01	254	0.5	Multiply					
PT PT_PP_Alqueva II			gross_capacity	2010-01-01	2100-01-01	254	0.5	Multiply					
PT PT_PP_Alto Lindoso			gross_capacity	2010-01-01	2100-01-01	630	0.5	Multiply					
PT PT_PP_Alto Rabagao			gross_capacity	2010-01-01	2100-01-01	68	0.5	Multiply					
PT PT_PP_Baixo Sabor			gross_capacity	2010-01-01	2100-01-01	189	0.5	Multiply					
PT PT_PP_Bouca			gross_capacity	2010-01-01	2100-01-01	44	0.5	Multiply					
PT PT_PP_Cabril			gross_capacity	2010-01-01	2100-01-01	108	0.5	Multiply					
PT PT_PP_Caldeirao			gross_capacity	2010-01-01	2100-01-01	40	0.5	Multiply					
PT PT_PP_Canicada			gross_capacity	2010-01-01	2100-01-01	62	0.5	Multiply					
