Object_Name	Parent_Object	Target_Object	Property	Date_From	Date_To	Value	Variable	Variable_Effect	Timeslice	Timeslice_Index	Group_id	Priority	Scenario
PT Offshore 893 41.0 -8.75 100M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Offshore 893 41.0 -8.75 100M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Offshore 893 41.0 -8.75 100M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Offshore 893 41.0 -8.75 130M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Offshore 893 41.0 -8.75 130M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Offshore 893 41.0 -8.75 130M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Offshore 893 41.0 -8.75 160M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Offshore 893 41.0 -8.75 160M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Offshore 893 41.0 -8.75 160M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Offshore 93 36.5 -8.125 100M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Offshore 93 36.5 -8.125 100M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Offshore 93 36.5 -8.125 100M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Offshore 93 36.5 -8.125 130M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Offshore 93 36.5 -8.125 130M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Offshore 93 36.5 -8.125 130M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Offshore 93 36.5 -8.125 160M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Offshore 93 36.5 -8.125 160M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Offshore 93 36.5 -8.125 160M Generator HWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Onshore 361 38.0 -7.5 70M Generator LWST			Bid Up Price	2010-01-01	2100-01-01	0							
PT Onshore 361 38.0 -7.5 70M Generator NWST			Bid Up Price	2010-01-01	2100-01-01	0							
