Object_Name	Parent_Object
PT Coal 1990	PT
PT Coal 1995	PT
PT Coal 2000	PT
PT Coal 2005	PT
PT Coal 2010	PT
PT Coal 2015	PT
PT Coal 2020	PT
PT Coal 2025	PT
PT Coal 2030	PT
PT Coal 2035	PT
PT Coal 2040	PT
PT Coal 2045	PT
PT Coal 2050	PT
PT Coal 2055	PT
PT Coal 2060	PT
PT Coal 2065	PT
PT CCGT 1990	PT
PT CCGT 1995	PT
PT CCGT 2000	PT
PT CCGT 2005	PT
PT CCGT 2010	PT
PT CCGT 2015	PT
PT CCGT 2020	PT
PT CCGT 2025	PT
PT CCGT 2030	PT
PT CCGT 2031	PT
PT CCGT 2032	PT
PT CCGT 2033	PT
PT CCGT 2034	PT
PT CCGT 2035	PT
PT CCGT 2036	PT
PT CCGT 2037	PT
PT CCGT 2038	PT
PT CCGT 2039	PT
PT CCGT 2040	PT
PT CCGT 2045	PT
PT CCGT 2050	PT
PT CCGT 2055	PT
PT CCGT 2060	PT
PT CCGT 2065	PT
PT OCGT 1990	PT
PT OCGT 1995	PT
PT OCGT 2000	PT
PT OCGT 2005	PT
PT OCGT 2010	PT
PT OCGT 2015	PT
PT OCGT 2020	PT
PT OCGT 2025	PT
PT OCGT 2030	PT
PT OCGT 2035	PT
PT OCGT 2040	PT
PT OCGT 2045	PT
PT OCGT 2050	PT
PT OCGT 2055	PT
PT OCGT 2060	PT
PT OCGT 2065	PT
PT Biomass 1990	PT
PT Biomass 1995	PT
PT Biomass 2000	PT
PT Biomass 2005	PT
PT Biomass 2010	PT
PT Biomass 2015	PT
PT Biomass 2020	PT
PT Biomass 2025	PT
PT Biomass 2030	PT
PT Biomass 2035	PT
PT Biomass 2040	PT
PT Biomass 2045	PT
PT Biomass 2050	PT
PT Biomass 2055	PT
PT Biomass 2060	PT
PT Biomass 2065	PT
PT Lignite 1990	PT
PT Lignite 1995	PT
PT Lignite 2000	PT
PT Lignite 2005	PT
PT Lignite 2010	PT
PT Lignite 2015	PT
PT Lignite 2020	PT
PT Lignite 2025	PT
PT Lignite 2030	PT
PT Lignite 2035	PT
PT Lignite 2040	PT
PT Lignite 2045	PT
PT Lignite 2050	PT
PT Lignite 2055	PT
PT Lignite 2060	PT
PT Lignite 2065	PT
PT Nuclear 1990	PT
PT Nuclear 1995	PT
PT Nuclear 2000	PT
PT Nuclear 2005	PT
PT Nuclear 2010	PT
PT Nuclear 2015	PT
PT Nuclear 2020	PT
PT CHP 1990	PT
PT CHP 1995	PT
PT CHP 2000	PT
PT CHP 2005	PT
PT CHP 2010	PT
PT CHP 2015	PT
PT CHP 2020	PT
PT CHP 2025	PT
PT CHP 2030	PT
PT CHP 2035	PT
PT CHP 2040	PT
PT CHP 2045	PT
PT CHP 2050	PT
PT CHP 2055	PT
PT CHP 2060	PT
PT CHP 2065	PT
PT Liquid 1990	PT
PT Liquid 1995	PT
PT Liquid 2000	PT
PT Liquid 2005	PT
